name1,name2
AADAC,FABP1
AADAC,CES3
AADAC,COG1
AADAC,MGLL
AADAC,CES2
AADAC,EMC1
AADAC,PSAT1
AADAC,CES1
AADAT,CRYM
AADAT,GOT2
AADAT,RALY
AADAT,LPCAT2
AADAT,DHTKD1
AADAT,KYNU
AADAT,QDPR
AADAT,HAAO
AADAT,PHYKPL
AADAT,PIPOX
AADAT,BCAT2
AADAT,AFMID
AADAT,ACMSD
AADAT,KMO
AADAT,CTH
AADAT,AASS
AADAT,QPRT
AADAT,ABAT
AADAT,TDO2
AAK1,CAP2
AAK1,HIP1R
AAK1,DBN1
AAK1,PPIH
AAK1,GAK
AAK1,ARFGAP1
AAK1,HIP1
AAK1,UBQLN2
AAK1,ITSN2
AAK1,SCYL2
AAK1,ACOT7
AAK1,SYNJ1
AAK1,SYNRG
AAK1,EPS15L1
AAK1,FCHO2
AAR2,RPAP3
AAR2,RBM22
AAR2,SF3A1
AAR2,SNRPD3
AAR2,PRPF19
AAR2,SNRPA
AAR2,SNW1
AAR2,SNRNP40
AAR2,STRN
AAR2,PRPF6
AAR2,EFTUD1
AAR2,NHP2
AAR2,SNRPD1
AAR2,SRRM2
AAR2,SART1
AAR2,DDX23
AAR2,USP39
AAR2,TTC27
AAR2,SNRNP200
AAR2,RUVBL1
AAR2,PRPF31
AAR2,SEC16A
AAR2,DHX15
AAR2,CDC5L
AAR2,XRN2
AAR2,SRSF5
AAR2,SNRNP70
AAR2,PFDN6
AAR2,RUVBL2
AAR2,DDX46
AAR2,SNRPB
AAR2,PRPF4
AAR2,PRPF40A
AAR2,PRPF8
AAR2,EFTUD2
AARS2,MRPS34
AARS2,RBX1
AARS2,HARS2
AARS2,NAT10
AARS2,OXA1L
AARS2,PSPH
AARS2,NOS3
AARS2,GMPS
AARS2,IPO4
AARS2,MRPS16
AARS2,ALDH18A1
AARS2,XPOT
AARS2,SRP19
AARS2,OLA1
AARS2,PHGDH
AARS2,SRP14
AARS2,YME1L1
AARS2,CSTF2
AARS2,HSP90AB1
AARS2,SRP68
AARS2,PUS1
AARS2,MRPS22
AARS2,FARSA
AARS2,PSAT1
AARS2,SRP9
AARS2,EIF3B
AARS2,ETF1
AARS2,ANAPC2
AARS2,ANAPC1
AARS2,RPA1
AARS2,FARSB
AARS2,NTPCR
AARS2,TARS2
AARS2,LARS
AARS2,VARS
AARS2,IARS
AARS2,DARS2
AARS2,NARS
AARS2,MARS
AARS2,LARS2
AARS2,GARS
AASS,OTC
AASS,MRPL4
AASS,SDS
AASS,HAL
AASS,HGD
AASS,ASL
AASS,GLS2
AASS,PHYKPL
AASS,PIPOX
AASS,BCAT2
AASS,AFMID
AASS,TAT
AASS,ARG1
AASS,OAT
AASS,ALDH18A1
AASS,ASS1
AASS,GNMT
AASS,SRM
AASS,ATXN2
AASS,DNAJC2
AASS,PFKP
AASS,UROC1
AASS,CPS1
AASS,CALU
AASS,SELENBP1
AASS,GTF2F1
AASS,TRMT112
ABAT,DAO
ABAT,AGXT2
ABAT,EHHADH
ABAT,PLBD1
ABAT,CAT
ABAT,ACADS
ABAT,GOT2
ABAT,ACSS2
ABAT,FABP4
ABAT,ALDH2
ABAT,PTPN23
ABAT,ALDH8A1
ABAT,SORD
ABAT,GLUD1
ABAT,PLBD2
ABAT,FTCD
ABAT,FABP5
ABAT,DCXR
ABAT,ASL
ABAT,MRPL38
ABAT,AOC3
ABAT,GRHPR
ABAT,MSRA
ABAT,ACSS1
ABAT,UPB1
ABAT,GLUD2
ABAT,NPEPL1
ABAT,OAT
ABAT,ACADSB
ABAT,PHGDH
ABAT,DBT
ABAT,PGM1
ABAT,SCP2
ABAT,ASS1
ABAT,OGDHL
ABAT,AOX1
ABAT,ALDOB
ABAT,ALDH4A1
ABAT,PCCA
ABAT,ALDH1B1
ABAT,GPT
ABAT,ACSF3
ABAT,HADH
ABAT,HAGH
ABAT,FAH
ABAT,ACSS3
ABAT,ALDH6A1
ABCB1,CYP4F2
ABCB1,PON1
ABCB1,ABCF2
ABCB1,CYP3A5
ABCB1,NR3C1
ABCB1,MRPS7
ABCB1,APOE
ABCB1,HIP1R
ABCB1,RPA1
ABCB1,SLCO1B1
ABCB1,GGH
ABCB1,CYP2C9
ABCB1,SLCO1B3
ABCB1,MAPK3
ABCB1,TJP1
ABCB1,SLCO2B1
ABCB1,CYP2A6
ABCB1,CYP7A1
ABCB1,HSPA4
ABCB1,UGT1A6
ABCB1,UGT2B7
ABCB1,CASP3
ABCB1,CYP2B6
ABCB1,CYP3A4
ABCB1,CYP1A2
ABCB1,ANXA2
ABCB1,UGT1A9
ABCB1,FN1
ABCB1,HTT
ABCB1,OCLN
ABCB1,ATP2B4
ABCB1,ATP2B2
ABCB1,CES1
ABCB1,CYP2D6
ABCB1,COMT
ABCB1,TOP1
ABCB1,MTOR
ABCB1,SLC22A1
ABCB1,CYP2J2
ABCB1,CYP2C8
ABCB1,HSP90AB1
ABCB1,UGT1A4
ABCB1,UGT1A1
ABCB1,MVP
ABCB1,SULT1A1
ABCB1,RELA
ABCB1,ATP2B1
ABCB1,SMARCA4
ABCB1,ABCF3
ABCB1,CYP2E1
ABCB1,CYP3A7
ABCB10,HAT1
ABCB10,AGPS
ABCB10,PITRM1
ABCB10,SLC46A1
ABCB10,ALAD
ABCB10,STEAP3
ABCB10,PPOX
ABCB11,SULT2A1
ABCB11,AKR1D1
ABCB11,SRSF6
