name,seedslabel
ABCB1,1
ABCB6,1
ABCC3,1
ACADL,1
ACOT7,1
ACSL1,1
ACSM3,1
ACSS2,1
ADAR,1
ADIPOQ,1
AHSA1,1
AKAP12,1
AKR1B10,1
AKR1C4,1
ALDH2,1
ANO1,1
ANXA2,1
APEX1,1
APOE,1
ASL,1
BAX,1
BIRC6,1
BRI3BP,1
CADM1,1
CARM1,1
CASP3,1
CASP8,1
CBX3,1
CD151,1
CDK2,1
CELF1,1
CFH,1
CHD1L,1
CHD4,1
CIRBP,1
CLIC1,1
CLIP1,1
COL18A1,1
COMT,1
CPS1,1
CPSF7,1
CRYL1,1
CSE1L,1
CTBS,1
CYP2C9,1
CYP2D6,1
CYP2E1,1
DDX3X,1
DENR,1
DHX9,1
DNM1L,1
DPP4,1
DPYS,1
DYNLL1,1
ECHS1,1
EHMT2,1
EIF2S2,1
EPCAM,1
FABP4,1
FAH,1
FAM83H,1
FBP1,1
FHIT,1
FHL2,1
FN1,1
FNDC3B,1
FOXK1,1
FUBP1,1
G6PD,1
GABPA,1
GMPS,1
GNMT,1
GNPAT,1
GOLM1,1
GOLPH3,1
GPT,1
GRN,1
HCFC1,1
HDAC1,1
HDAC2,1
HDAC6,1
HGS,1
HK1,1
HLA-A,1
HMGA1,1
HMGB3,1
HMGCS2,1
HNRNPA1,1
HNRNPC,1
HNRNPDL,1
HNRNPU,1
HPD,1
HSPA4,1
HSPB1,1
HSPG2,1
IGF2R,1
ILF2,1
IRF2BP2,1
KDM1A,1
KHDRBS1,1
KMO,1
LMNB1,1
MAN2A1,1
MAP1S,1
MAPK1,1
MAPK14,1
MAPK3,1
MARCKS,1
MAT1A,1
MBL2,1
METTL3,1
MLXIPL,1
MMP9,1
MPO,1
MRC1,1
MRPL38,1
MRPS5,1
MSH2,1
MTOR,1
NASP,1
NAT10,1
NCK1,1
NDRG1,1
NDRG2,1
NONO,1
NPM1,1
NUP155,1
NUP62,1
OAT,1
OGDHL,1
OGT,1
PARP1,1
PCK1,1
PCK2,1
PCNA,1
PDCD4,1
PDLIM3,1
PEA15,1
PEMT,1
PES1,1
PHKB,1
PKM,1
PLEC,1
POLR2E,1
POSTN,1
PPFIA1,1
PPOX,1
PRPF31,1
PSMD10,1
PSMG2,1
PTBP1,1
PTK2,1
PTMA,1
RAB22A,1
RAE1,1
RBX1,1
RECQL,1
RELA,1
RGN,1
RHEB,1
RIPK1,1
RPA1,1
RPRD1B,1
RPS27,1
RUVBL1,1
SAFB,1
SCD,1
SERPINA11,1
SERPINF1,1
SF3B4,1
SFPQ,1
SLC22A1,1
SLCO1B1,1
SLCO2B1,1
SMAD2,1
SMARCA4,1
SORD,1
SQSTM1,1
SRRM2,1
STMN1,1
SUMO1,1
THY1,1
TJP1,1
TLN2,1
TMEM176B,1
TOP1,1
TRRAP,1
TSG101,1
UFC1,1
UGP2,1
UTRN,1
VCAM1,1
VPS33B,1
VPS51,1
WNK1,1
XPO1,1
XPO4,1
XPO5,1
XRCC1,1
XRCC5,1
UGT2B7,1
UGT1A1,1
ZFR,1
TAGLN2,1
TRIM3,1
TIPRL,1
AADAC,0
AADAT,0
AAK1,0
AAR2,0
AARS2,0
AASS,0
ABAT,0
ABCB10,0
ABCB11,0
ABCC6,0
ABCD1,0
ABCF1,0
ABCF2,0
ABCF3,0
ABHD11,0
ABHD12,0
ABHD14B,0
ABI1,0
ABLIM1,0
ABLIM3,0
ACAA1,0
ACAA2,0
ACACB,0
ACAD11,0
ACADM,0
ACADS,0
ACADSB,0
ACBD3,0
ACBD4,0
ACIN1,0
