"","x"
"1","AADAC"
"2","AADAT"
"3","AAK1"
"4","AAR2"
"5","AARS2"
"6","AASS"
"7","ABAT"
"8","ABCB10"
"9","ABCB11"
"10","ABCC6"
"11","ABCD1"
"12","ABCF1"
"13","ABCF2"
"14","ABCF3"
"15","ABHD11"
"16","ABHD12"
"17","ABHD14B"
"18","ABI1"
"19","ABLIM1"
"20","ABLIM3"
"21","ACAA1"
"22","ACAA2"
"23","ACACB"
"24","ACAD11"
"25","ACADM"
"26","ACADS"
"27","ACADSB"
"28","ACBD3"
"29","ACBD4"
"30","ACIN1"
"31","ACLY"
"32","ACMSD"
"33","ACOT12"
"34","ACOT13"
"35","ACOT8"
"36","ACOX2"
"37","ACP6"
"38","ACSF3"
"39","ACSL3"
"40","ACSL4"
"41","ACSL5"
"42","ACSM1"
"43","ACSM2A"
"44","ACSM2B"
"45","ACSM5"
"46","ACSS1"
"47","ACSS3"
"48","ACTL6A"
"49","ACY1"
"50","ACY3"
"51","ADH1A"
"52","ADH1B"
"53","ADH1C"
"54","ADH4"
"55","ADH6"
"56","ADHFE1"
"57","ADK"
"58","ADSS"
"59","ADSSL1"
"60","AEBP1"
"61","AFMID"
"62","AGL"
"63","AGO2"
"64","AGPAT1"
"65","AGPAT2"
"66","AGPS"
"67","AGRN"
"68","AGXT2"
"69","AIFM2"
"70","AIP"
"71","AKAP13"
"72","AKAP9"
"73","AKR1D1"
"74","AKR7A3"
"75","ALAD"
"76","ALDH18A1"
"77","ALDH1B1"
"78","ALDH1L1"
"79","ALDH4A1"
"80","ALDH6A1"
"81","ALDH8A1"
"82","ALDOB"
"83","ALG1"
"84","ALOX5"
"85","ALYREF"
"86","AMDHD1"
"87","ANAPC1"
"88","ANAPC2"
"89","ANAPC5"
"90","ANAPC7"
"91","ANGPTL3"
"92","ANKHD1"
"93","ANKRD17"
"94","ANKRD28"
"95","ANKRD44"
"96","ANO6"
"97","ANP32A"
"98","ANP32B"
"99","ANP32E"
"100","ANTXR2"
"101","AOC3"
"102","AOX1"
"103","AP3B1"
"104","AP3D1"
"105","AP3M1"
"106","AP3S1"
"107","APBA1"
"108","API5"
"109","APIP"
"110","APOA1BP"
"111","APOA4"
"112","APOC1"
"113","APP"
"114","APPL2"
"115","ARAP1"
"116","ARFGAP1"
"117","ARFGAP3"
"118","ARFGEF1"
"119","ARFGEF2"
"120","ARFIP1"
"121","ARG1"
"122","ARHGAP17"
"123","ARHGAP5"
"124","ARHGEF1"
"125","ARHGEF2"
"126","ARHGEF5"
"127","ARHGEF7"
"128","ARIH1"
"129","ARIH2"
"130","ARL1"
"131","ARL8B"
"132","ARMC8"
"133","ARMCX3"
"134","ARSD"
"135","ARSE"
"136","ASCC2"
"137","ASCC3"
"138","ASGR2"
"139","ASNA1"
"140","ASPDH"
"141","ASPG"
"142","ASPN"
"143","ASPSCR1"
"144","ASS1"
"145","ATG5"
"146","ATG7"
"147","ATOX1"
"148","ATP11C"
"149","ATP1B3"
"150","ATP2B1"
"151","ATP2B2"
"152","ATP2B4"
"153","ATP6V0A1"
"154","ATP6V0D1"
"155","ATP6V1C1"
"156","ATRN"
"157","ATXN10"
"158","ATXN2"
"159","ATXN2L"
"160","AUP1"
"161","B4GALT1"
"162","BAAT"
"163","BAG2"
"164","BAG3"
"165","BAG6"
"166","BAIAP2L1"
"167","BANF1"
"168","BBOX1"
"169","BCAM"
"170","BCAT2"
"171","BCCIP"
"172","BCKDHA"
"173","BCKDHB"
"174","BCKDK"
"175","BCLAF1"
"176","BCO2"
"177","BDH1"
"178","BDH2"
"179","BHMT"
"180","BHMT2"
"181","BLVRA"
"182","BOD1L1"
"183","BOLA2"
"184","BRAP"
"185","BRCC3"
"186","BROX"
"187","BUB3"
"188","BUD31"
"189","BZW1"
"190","BZW2"
"191","C10orf76"
"192","C11orf58"
"193","C11orf68"
"194","C12orf10"
"195","C12orf29"
"196","C12orf5"
"197","C14orf142"
"198","C17orf49"
"199","C2"
"200","C21orf33"
"201","C2CD5"
"202","C4BPB"
"203","C7orf50"
"204","CA2"
"205","CA5A"
"206","CAB39"
"207","CACYBP"
"208","CAD"
"209","CALCOCO2"
"210","CALU"
"211","CAMK1D"
"212","CAP2"
"213","CAPG"
"214","CAPN2"
"215","CAPRIN1"
"216","CAT"
"217","CBR4"
"218","CBSL"
"219","CC2D1A"
"220","CCAR1"
"221","CCAR2"
"222","CCDC124"
"223","CCDC6"
"224","CCDC88A"
"225","CCNY"
"226","CD163"
"227","CD180"
"228","CD2AP"
"229","CD38"
"230","CD40"
"231","CD46"
"232","CD59"
"233","CD81"
"234","CD93"
"235","CD97"
"236","CDA"
"237","CDC37"
"238","CDC5L"
"239","CDC73"
"240","CDH13"
"241","CDK5"
"242","CDK6"
"243","CDK9"
"244","CDKAL1"
"245","CDKN2AIP"
"246","CDV3"
"247","CEBPZ"
"248","CECR1"
"249","CES1"
"250","CES2"
"251","CES3"
"252","CFHR5"
"253","CHAMP1"
"254","CHERP"
"255","CHMP4B"
"256","CHMP5"
"257","CHORDC1"
"258","CKAP4"
"259","CKAP5"
"260","CLASP1"
"261","CLASP2"
"262","CLEC4M"
"263","CLINT1"
"264","CLNS1A"
"265","CLYBL"
"266","CMBL"
"267","CMC1"
"268","CMTR1"
"269","CNIH4"
"270","CNN1"
"271","CNN3"
"272","CNNM3"
"273","CNOT1"
"274","COBL"
"275","COBLL1"
"276","COG1"
"277","COG2"
"278","COG3"
"279","COG4"
"280","COG5"
"281","COG7"
"282","COL15A1"
"283","COL1A1"
"284","COLGALT1"
"285","COPG2"
"286","COPS7B"
"287","COX20"
"288","CPD"
"289","CPSF1"
"290","CPSF2"
