SYMBOL,logFC,adj.P.Val,,,,,,,,Gene,,CTNNB1 （22 %）TP53 （29 %）LRP1B （28 %）PREX2 （22 %）ERBB4 （20 %）PTPRT （20 %）ZFHX3 （19 %）KMT2C （19 %）ALK （17 %）NTRK3 （17 %）锌f521 （18 %）CAMTA1 （18 %）FHIT （18 %）MAML2 （15 %）狐狸1 （15 %）GPHN （15 %）干旱2 （12 %）SND1 （15 %）LPP （15 %）GRIN2A （14 %）有突变的样本所有样品前20个基因规模（样本）基因
RBM47,-1.349424126,2.61E-11,,,,,,,,HRAS,,
UBA6,-0.254334209,0.057388344,,,"STARD8, ARHGAP38, DLC3, STARTGAP3",,,,,DLC1,,
ESYT2,-0.591048697,3.75E-06,,,"DLC1, ARHGAP7, HP, STARD12, p122-RhoGAP",,,,,YAP1,,
UHRF1BP1L,-0.502434835,0.145110435,,,"STARD13, ARHGAP37, DLC2, GT650, LINC00464",,,,,CTNNB1,,
IGLC7,-0.691907456,0.003191632,,,,,,,,AFP,,
KIAA1598,-0.983855324,7.32E-11,,,,,,,,AKT1,,
TMEM82,0.678722974,0.004876486,,,,,,,,ALB,,
ILVBL,0.877045868,8.71E-11,,,,,,,,GPC3,,
NBAS,0.360840574,0.221875441,,,,,,,,HIF1A,,
FUOM,1.617235805,6.72E-18,,,,,,,,MIR122,,
VWA8,0.613538089,0.004254915,,,,,,,,EPCAM,,
SBNO1,2.245079814,2.28E-08,,,,,,,,PIK3CA,,
GTPBP10,-0.237654072,0.489223406,,,,,,,,PIK3CB,,
WDR91,-1.601980198,1.25E-15,,,,,,,,PIK3CD,,
TRAPPC13,-0.080612245,0.759668544,,,,,,,,PIK3CG,,
CNOT1,-1.918114771,7.95E-30,,,,,,,,PTEN,,
C2orf72,0.15394019,0.368669129,,,,,,,,STAT3,,
ASPDH,3.461487169,1.05E-31,,,,,,,,TP53,,
PALM3,1.785956759,1.89E-16,,,,,,,,VEGFA,,
PGP,-1.30979996,1.59E-14,,,,,,,,TNFSF10,,
C5orf51,-1.140018185,5.42E-08,,,,,,,,PROM1,,
TUBAL3,-0.705566781,0.00094916,,,,,,,,CD44,,
FBLL1,-0.599494847,0.000290851,,,,,,,,MIR21,,
SMCHD1,-1.61397252,0.000210631,,,,,,,,MYC,,
NCF1B,-0.74655486,0.014402944,,,,,,,,ABCB1,,
UNC119B,0.164376642,0.540422294,,,,,,,,MAPK1,,
TTC36,3.638644171,9.80E-44,,,,,,,,PTGS2,,
LRRC37A;LRRC37A2;LRRC37A3,-0.078460295,0.757621764,,,,,,,,BCL2,,
ZSWIM8,0.16288139,0.787042264,,,,,,,,THY1,,
SNRPG;SNRPGP15,-1.280551627,8.29E-07,,,,,,,,TNF,,
NUDT19,-0.602788442,0.028043281,,,,,,,,CDKN2A,,
MYO1G,-0.981167913,0.014563315,,,,,,,,EGFR,,
GPR89B;GPR89A;GPR89C,-0.448050111,0.008770137,,,,,,,,EPHB2,,
IGLL5;IGLC1,-0.002061022,0.991824011,,,,,,,,SIRT1,,
WASH3P;WASH2P;WASH1,-1.231895332,9.25E-11,,,,,,,,NFE2L2,,
NACA,-0.882339867,2.12E-10,,,,,,,,CCND1,,
DNASE2,-0.481945848,0.01806313,,,,,,,,IL24,,
AGPS,-1.509405941,4.42E-23,,,,,,,,GABPA,,
UBXN8,-0.664356436,0.01270228,,,,,,,,GRN,,
KIF2A,1.191907456,9.21E-05,,,,,,,,IL6,,
TK2,0.274257426,0.124463444,,,,,,,,MIR221,,
DDX39A,-2.356061831,1.55E-16,,,,,,,,MIR34A,,
PDLIM1,-0.250080824,0.14004332,,,,,,,,COX2,,
ACOT7,-1.810507173,9.36E-16,,,,,,,,PKM,,
MYO1C,-0.349282683,0.023592273,,,,,,,,ADAM17,,
MYO1F,-0.943119822,0.001633929,,,,,,,,TGFB1,,
SNAP23,-0.891119418,3.18E-11,,,,,,,,DNLZ,,
HAX1,-0.887340877,1.24E-05,,,,,,,,CASP3,,
AIP,-1.346969085,3.06E-20,,,,,,,,DYNLL1,,
GTPBP1,-1.433966458,3.31E-08,,,,,,,,DLEC1,,
LGALS9,-0.956870075,6.04E-05,,,,,,,,HOTAIR,,
STXBP3,-0.729187715,1.07E-09,,,,,,,,MTCO2P12,,
MASP2,-2.155203071,9.53E-12,,,,,,,,E2F1,,
ARVCF,0.118821984,0.714295478,,,,,,,,GNMT,,
SMAP,-1.749696908,7.65E-22,,,,,,,,HNF4A,,
AP3B1,-1.945433421,6.44E-29,,,,,,,,ICAM1,,
LGALS8,-1.144574662,1.27E-06,,,,,,,,MALAT1,,
NDUFS8,0.15394019,0.329717649,,,,,,,,ARHGAP1,,
PSMD11,-0.511487169,1.57E-08,,,,,,,,MET,,
PSMD12,-0.595776925,1.46E-08,,,,,,,,PPARG,,
PSMD9,-0.424873712,0.017357475,,,,,,,,SLC5A5,,
ATOX1,-1.513133966,4.58E-15,,,,,,,,HMGA2,,
PGRMC1,0.369751465,0.007790074,,,,,,,,MTDH,,
SUPT5H,-2.613952314,7.27E-34,,,,,,,,KLRC4-KLRK1,,
DFFA,-0.89261467,2.80E-08,,,,,,,,KLRK1,,
HIP1,-1.473388563,5.77E-15,,,,,,,,FOXM1,,
CLIC1,-1.150575874,7.48E-18,,,,,,,,TRIB2,,
EIF3F,-0.645645585,3.14E-07,,,,,,,,ANPEP,,
