"ID","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"A0AV96","RBM47",3.63864417053941,24.1042713567839,19.228271904125,1.81182658782863e-47,9.79654636038942e-44,97.3549972137038
"A0AVT1","UBA6",-3.42657102444945,22.8778894472362,-18.7851279442098,3.72418679874214e-46,1.00683390103994e-42,94.3628053126255
"A0FGR8","ESYT2",-2.04621135582952,23.21608040201,-17.8958136542735,1.7041656846931e-43,3.0714746190452e-40,88.2973424636351
"A0JNW5","UHRF1BP1L",2.74727217619707,25.6638190954774,17.5103888461187,2.47998026841444e-42,3.35231332782921e-39,85.6452480196284
"A0M8Q6","IGLC7",2.79359466558895,26.0331658291457,16.5587398978681,1.94276619441706e-39,2.1009073626426e-36,79.0437740125557
"A0MZ66","KIAA1598",-3.21550818347147,19.643216080402,-16.530412676641,2.37142270303799e-39,2.1370470925544e-36,78.8462232623175
"A0PJX8","TMEM82",-2.63687613659331,22.4301507537688,-16.4075992812916,5.63228773410546e-39,4.35053996832975e-36,77.9891028641982
"A1L0T0","ILVBL",-2.11391190139429,23.0045226130653,-16.3402747873504,9.05329149552017e-39,6.11889338953469e-36,77.5188146541804
"A2RRP1","NBAS",3.69023034956552,24.314824120603,16.2267775023689,2.01638459285865e-38,1.21139905484297e-35,76.7253283006044
"A2VDF0","FUOM",5.18519903010704,24.5366834170854,15.9615590117312,1.31382804313919e-37,6.7799489646816e-35,74.8680448278118
"A3KMH1","VWA8",2.84378662356032,22.6974874371859,15.9546835693688,1.37931271706117e-37,6.7799489646816e-35,74.8198426012146
"A3KN83","SBNO1",-2.44351384118011,22.2085427135678,-15.8758700574741,2.4092979417782e-37,1.08558949759956e-34,74.2671105139368
"A4D1E9","GTPBP10",-2.23783592644987,21.2286432160804,-15.7907699564788,4.40150044128695e-37,1.76041294094459e-34,73.6699113478575
"A4D1P6","WDR91",-2.82027682360077,21.148743718593,-15.7858337372554,4.55812487020977e-37,1.76041294094459e-34,73.6352591506401
"A5PLN9","TRAPPC13",-3.69255405132354,20.6914572864322,-15.7474401537409,5.98296054986256e-37,2.15665784620712e-34,73.3656935923114
"A5YKK6","CNOT1",-2.42365124267541,25.2005025125628,-15.6657360214788,1.06760523875648e-36,3.60783845372267e-34,72.7917909230646
"A6NCS6","C2orf72",-2.26081026469998,23.1668341708543,-15.5922761786058,1.79741248262676e-36,5.71682899621345e-34,72.2755175011481
"A6ND91","ASPDH",-2.21041624570627,23.3045226130653,-15.5630666528118,2.21123979325343e-36,6.64231864562294e-34,72.0701626003807
"A6NDB9","PALM3",-2.61395231359875,20.0236180904523,-15.5426492755616,2.55592031712992e-36,7.27361113406392e-34,71.9265965488378
"A6NDG6","PGP",4.5519296827641,24.3713567839196,15.4828361124891,3.90745940801938e-36,1.05638165095804e-33,71.5059073647414
"A6NDU8","C5orf51",-2.3214083653264,21.0241206030151,-15.3813873191858,8.03004708664037e-36,2.06754593321259e-33,70.7920194212749
"A6NHL2","TUBAL3",3.74710042432808,23.08391959799,15.2157060939947,2.60611572449808e-35,6.40512169198232e-33,69.6252259474204
"A6NHQ2","FBLL1",-2.21667003435044,22.2638190954774,-15.1493467176756,4.17731103584941e-35,9.82031337862511e-33,69.1576050040215
"A6NHR9","SMCHD1",2.29600929480695,21.7336683417085,15.0570685986268,8.05267957162685e-35,1.81420160182443e-32,68.5070851577809
"A6NI72","NCF1B",-1.57537886441713,22.1618090452261,-14.9997614251532,1.21065452664828e-34,2.6184036102349e-32,68.1029547025859
"A6NIH7","UNC119B",-1.75937563144073,23.7939698492462,-14.9367682758389,1.89548167902415e-34,3.94187286095522e-32,67.6586106191615
"A6NLP5","TTC36",-2.48311780157616,23.4286432160804,-14.9295588486245,1.9952884846517e-34,3.9957499394488e-32,67.6077489840849
"A6NMS7","LRRC37A;LRRC37A2;LRRC37A3",-2.16771064861599,24.6206030150754,-14.8982386721289,2.49362637811019e-34,4.81537065230064e-32,67.3867718264935
"A7E2V4","ZSWIM8",-2.22144877753085,21.2386934673367,-14.8785574754248,2.86867528848326e-34,5.34859561545828e-32,67.2478986822036
"P62308","SNRPG;SNRPGP15",3.46148716912496,25.0798994974874,14.7794020935936,5.81185721621795e-34,1.04749039893635e-31,66.5480905187919
"A8MXV4","NUDT19",3.24323095574857,21.7427135678392,14.750934840333,7.11816385783371e-34,1.24154554771958e-31,66.3471324971731
"B0I1T2","MYO1G",-3.61306324510009,21.1939698492462,-14.7349480339843,7.97665641598639e-34,1.3478056637887e-31,66.2342690621574
"P0CG08","GPR89B;GPR89A;GPR89C",-3.45507173166301,21.5994974874372,-14.7196685315839,8.89381676526976e-34,1.4572384015095e-31,66.1263936416337
"B9A064","IGLL5;IGLC1",-2.3641846837746,22.5723618090452,-14.6299006841632,1.68589053315322e-33,2.68106179787043e-31,65.492519535301
"C4AMC7","WASH3P;WASH2P;WASH1",-1.63219842392398,25.5110552763819,-14.5964015279982,2.1403919825317e-33,3.27390484635039e-31,65.2559322915701
"E9PAV3","NACA",3.15044453424932,25.0326633165829,14.5938426536579,2.17977759327934e-33,3.27390484635039e-31,65.2378594295927
"O00115","DNASE2",-2.72751060820374,20.3914572864322,-14.5030118618251,4.16423260713463e-33,6.08540694777755e-31,64.5962654973356
"O00116","AGPS",-2.26390179834313,21.0643216080402,-14.4973739382479,4.33497250792824e-33,6.16820956588631e-31,64.5564370008209
"O00124","UBXN8",-2.2473428975551,19.8467336683417,-14.4782982863554,4.96630921682761e-33,6.88534203471459e-31,64.4216756551869
"O00139","KIF2A",-1.89089715093966,21.7994974874372,-14.4608066343208,5.62574444593217e-33,7.60460005478881e-31,64.2981000179288
"O00142","TK2",-2.03978581531629,23.0291457286432,-14.4204649652374,7.50008936238383e-33,9.89097150790473e-31,64.0130770887638
"O00148","DDX39A",-1.75384926247735,22.5105527638191,-14.3621564585554,1.13654991396481e-32,1.46317271066851e-30,63.6010794913317
"O00151","PDLIM1",-1.42598504748458,25.3155778894472,-14.2970962476406,1.8073075073715e-32,2.27258411450179e-30,63.1413342367555
"O00154","ACOT7",-2.09519094766625,20.891959798995,-14.2298092929363,2.92002375788414e-32,3.58831101338171e-30,62.665817690718
"O00159","MYO1C",2.60793089513024,28.9100502512563,14.2161524099398,3.21867107151438e-32,3.86741210748405e-30,62.5693010263153
"O00160","MYO1F",3.46825621337638,24.2376884422111,14.1660696887541,4.60010258680054e-32,5.40712058409359e-30,62.2153459115538
"O00161","SNAP23",-2.52663164275618,20.8190954773869,-14.1403520855245,5.52597455491522e-32,6.35722221668651e-30,62.0335853425065
"O00165","HAX1",-2.08547181248742,21.0809045226131,-14.1112253329761,6.80156137395237e-32,7.66167548936676e-30,61.8277283650595
"O00170","AIP",3.37539907051918,24.491959798995,14.1048176854033,7.11954010446771e-32,7.85619456017488e-30,61.7824413019104
"O00178","GTPBP1",-1.9181147706608,19.7969849246231,-14.1003880905784,7.34800781645625e-32,7.94613565271579e-30,61.7511344067639
"O00182","LGALS9",-1.51709436249748,24.894472361809,-14.0812770141769,8.42080024849707e-32,8.92769940071052e-30,61.616063482424
"O00186","STXBP3",-2.44299858557292,20.7256281407035,-14.0637170741076,9.54407086936136e-32,9.92399830589171e-30,61.4919553251134
"O00187","MASP2",-2.44966659931305,22.5045226130653,-14.0606738089132,9.75344775845772e-32,9.95035698678885e-30,61.4704464788068
"O00192","ARVCF",-1.76564962618718,22.5859296482412,-14.0461047231326,1.08212218873519e-31,1.08352493972059e-29,61.3674767892955
"O00193","SMAP",-3.09310971913524,22.135175879397,-14.0392000290234,1.13673448569301e-31,1.11751333893493e-29,61.3186766470226
"O00203","AP3B1",1.8480096989291,27.478391959799,14.03391271374,1.18041032224178e-31,1.13972832363594e-29,61.2813076474639
"O00214","LGALS8",-2.16546777126698,21.7949748743719,-13.9806837057398,1.72533645826702e-31,1.63664811049996e-29,60.9051054182928
"O00217","NDUFS8",-2.28067286320475,21.0748743718593,-13.9652275788957,1.92636327230274e-31,1.79583555402429e-29,60.7958688846645
"O00231","PSMD11",-1.32643968478502,26.5497487437186,-13.9540655480886,2.08595272977452e-31,1.91165193387981e-29,60.7169815253435
"O00232","PSMD12",2.68375429379654,25.8909547738693,13.9502660606898,2.1432388294903e-31,1.93141539184235e-29,60.6901288642168
"O00233","PSMD9",-1.57202465144477,23.9396984924623,-13.9129348566784,2.79688775411325e-31,2.47914296499841e-29,60.4262963399514
"O00244","ATOX1",-1.4323196605377,26.605527638191,-13.909965712613,2.8567322614367e-31,2.49134698993359e-29,60.4053126887173
"O00264","PGRMC1",-2.6948777530815,19.7402010050251,-13.8440350168147,4.57120024052635e-31,3.92325074611523e-29,59.9393797250672
"O00267","SUPT5H",-1.75370781976163,23.1819095477387,-13.8317053008923,4.99124559919313e-31,4.21682264919333e-29,59.8522491721102
"O00273","DFFA",-1.78532026672062,22.4336683417085,-13.8124001296936,5.72777436354584e-31,4.7646270744142e-29,59.7158277960615
"O00291","HIP1",-1.19419074560518,28.2683417085427,-13.7966796876429,6.40710713321595e-31,5.24897398019676e-29,59.6047407761387
"O00299","CLIC1",-1.94543342089316,21.2577889447236,-13.7659037562178,7.97906979534762e-31,6.43922841543949e-29,59.3872729488789
"O00303","EIF3F",2.1412305516265,21.4346733668342,13.7622795697735,8.18791662546386e-31,6.51059782262987e-29,59.3616645311224
"O00330","PDHX",-1.92695494039206,22.1371859296482,-13.7497612840615,8.95224285614634e-31,7.01518509031642e-29,59.2732117825857
"O00391","QSOX1",-2.46070923418878,22.1050251256281,-13.7183219374607,1.12013216263121e-30,8.65222086192424e-29,59.051073444509
"O00399","DCTN6",-1.81162861184081,23.0613065326633,-13.6979387005453,1.29531011362967e-30,9.86442504844452e-29,58.9070602064303
"O00400","SLC33A1",2.8663568397655,27.2125628140704,13.6942930690168,1.32941332420365e-30,9.98352478329044e-29,58.8813034078247
"O00401","WASL",-1.5716003232977,22.7537688442211,-13.668445949092,1.59836585135926e-30,1.18388550113692e-28,58.6986960738984
"O00408","PDE2A",2.34452414629212,29.6090452261307,13.6504680274392,1.81689108089807e-30,1.32755811816431e-28,58.5716897618637
"O00410","IPO5",-2.53424934330173,21.6331658291457,-13.6257220416487,2.16735208804335e-30,1.56251636534006e-28,58.3968783960735
"O00411","POLRMT",2.66790260658703,30.2653266331658,13.6046263588618,2.51899500797054e-30,1.79213236948641e-28,58.2478617240284
"O00418","EEF2K",3.65707213578493,29.9653266331658,13.5989361384391,2.6232507251823e-30,1.83796992528785e-28,58.2076682087741
"O00422","SAP18",-2.17241867043853,20.8311557788945,-13.5974380643801,2.65140843670155e-30,1.83796992528785e-28,58.1970864893096
"O00423","EML1",-1.6224489795919,23.0010050251256,-13.5917051409304,2.76198299554926e-30,1.89038507049808e-28,58.1565920770137
"O00429","DNM1L",-1.74348353202671,22.9542713567839,-13.5851516600914,2.89404200708573e-30,1.95444190268505e-28,58.1103024030997
"O00442","RTCA",-1.91267932915746,21.9105527638191,-13.5835211484919,2.92786747026982e-30,1.95444190268505e-28,58.0987856155066
"O00443","PIK3C2A",1.46050717316617,28.2291457286432,13.5672719087687,3.28732919392837e-30,2.16763279897204e-28,57.984015126998
"O00461","GOLIM4",-2.16562942008493,20.8562814070352,-13.5256779013762,4.42148340448536e-30,2.88035671904245e-28,57.6902547143912
"O00462","MANBA",-1.62283289553439,24.521608040201,-13.5223941049943,4.52616154339861e-30,2.91344707918527e-28,57.6670641840642
"O00468","AGRN",-1.78142048898775,20.729648241206,-13.4825562763603,6.01180353026324e-30,3.82421431625098e-28,57.3857435099969
"O00469","PLOD2",-2.2405031319459,21.2402010050251,-13.4559775034293,7.26511251377989e-30,4.56772829790789e-28,57.1980733930412
"O00471","EXOC5",-2.34002828854322,19.6733668341709,-13.4330826790144,8.55216069996688e-30,5.31511872468056e-28,57.0364286661614
"O00478","BTN3A3",-1.9434633259245,21.7231155778894,-13.4209984865632,9.32095865829807e-30,5.72709357561564e-28,56.9511156077617
"O00479","HMGN4",-1.98315821378066,24.5402010050251,-13.4055765373702,1.04032511450383e-29,6.32026729676651e-28,56.8422436986362
"O00483","NDUFA4",-2.16931703374425,21.6673366834171,-13.3699553583585,1.34077227748789e-29,8.05506189375222e-28,56.5907981550615
"O00487","PSMD14",-1.7848959385735,21.4477386934673,-13.3665051687868,1.37412627182423e-29,8.16472610082813e-28,56.5664454966649
"O00499","BIN1",-1.27834916144674,24.4110552763819,-13.3607118706587,1.43200759157102e-29,8.41615766046139e-28,56.5255550840895
"O00505","KPNA3",-1.94396847848058,19.4396984924623,-13.3514330085039,1.52983308460058e-29,8.80593918994452e-28,56.4600647069776
"O00506","STK25",-2.02134774701964,21.3738693467337,-13.3513350030329,1.53090120927462e-29,8.80593918994452e-28,56.4593729954153
"O00515","LAD1",2.78714891897346,28.2527638190955,13.3272544993922,1.8172780444942e-29,1.03254654718166e-27,56.2894237795921
"O00519","FAAH",-1.62824813093559,23.2753768844221,-13.3260247372334,1.83326185554724e-29,1.03254654718166e-27,56.2807451262584
"O00534","VWA5A",-1.69133158213787,22.1502512562814,-13.3186264178185,1.93243065576285e-29,1.07718067584637e-27,56.2285347839574
"O00541","PES1",-2.20344514043247,21.1356783919598,-13.3066963803692,2.10376067414912e-29,1.1607177515433e-27,56.144347261436
"O00559","EBAG9",2.23048090523324,26.7608040201005,13.3049638269234,2.1298740867894e-29,1.16325547346164e-27,56.1321213839773
"O00560","SDCBP",-2.04646393210754,23.3743718592965,-13.2985533391715,2.22934271572147e-29,1.2054056063906e-27,56.0868861400402
"O00567","NOP56",-2.20586987270161,20.7552763819095,-13.2908063493135,2.35576448841974e-29,1.2611503553352e-27,56.0322216062047
"O00571","DDX3X",-1.82830874924235,21.5748743718593,-13.2726214642189,2.68138807653088e-29,1.42139856174534e-27,55.9039121463681
"O00584","RNASET2",-2.38803798747228,20.9814070351759,-13.2665002507022,2.80082225774118e-29,1.4702957230686e-27,55.8607242257143
"O00592","PODXL",3.66121438674471,26.8693467336683,13.2575007651172,2.98613690854974e-29,1.55250406389697e-27,55.7972309541655
"O00625","PIR",-2.25724388765413,21.7517587939698,-13.1971096689736,4.58981751148152e-29,2.36353745567434e-27,55.3712276744406
"O00629","KPNA4",-2.78408769448379,20.148743718593,-13.1701589638777,5.56020561145784e-29,2.83622940954269e-27,55.1811555954813
"O00635","TRIM38",-1.76205293998791,22.0718592964824,-13.1624748787536,5.87269939194907e-29,2.9676341693709e-27,55.1269676765085
"O00743","PPP6C",-3.00466760961818,20.3678391959799,-13.1529970375744,6.28241897111841e-29,3.12908508185868e-27,55.0601331895481
"O00748","CES2",-3.9047787431805,23.5542713567839,-13.1524272991059,6.30793922549651e-29,3.12908508185868e-27,55.0561156934371
"O00754","MAN2B1",-1.88325924429182,22.5527638190955,-13.1352872278079,7.12609134446843e-29,3.50279780904916e-27,54.9352585116393
"O00757","FBP2",-1.5502626793292,23.8613065326633,-13.1048519847578,8.84885074168965e-29,4.31042666309153e-27,54.7206822732198
"O00763","ACACB",-2.35977975348561,20.9517587939698,-13.0835643133716,1.02955690585642e-28,4.97036981246935e-27,54.5706199679944
"O00764","PDXK",-2.1174075570823,20.9552763819095,-13.0812582721503,1.046583557977e-28,5.00785601591295e-27,54.5543651566082
"O00767","SCD",-1.45263689634277,23.1984924623116,-13.0783568147876,1.06840675159859e-28,5.06743447885402e-27,54.5339136791225
"O14494","PPAP2A",-1.79480703172366,21.5190954773869,-13.0689955658871,1.1419653747405e-28,5.36922328801901e-27,54.4679314171976
