"Drug","N.Targets","N.Seedgenes","d.avg","zscore","pvalue"
"DB00328",7,2.5,2.57142857142857,-4.08777160531314,0
"C1EY6B",1,10,1,-3.13589504815934,0
"C4JU1X",1,10,1,-3.13589504815934,0
"C63NSK",1,10,1,-3.13589504815934,0
"C6S5ZA",1,10,1,-3.13589504815934,0
"C7GI8W",1,10,1,-3.13589504815934,0
"C7NRZ8",1,10,1,-3.13589504815934,0
"C80EVI",1,10,1,-3.13589504815934,0
"C81ZSW",1,10,1,-3.13589504815934,0
"C9BM1L",1,10,1,-3.13589504815934,0
"C9T4KE",1,10,1,-3.13589504815934,0
"CB16RO",1,10,1,-3.13589504815934,0
"CCN4A6",1,10,1,-3.13589504815934,0
"CDZ2I7",1,10,1,-3.13589504815934,0
"CI69QT",1,10,1,-3.13589504815934,0
"CL78EU",1,10,1,-3.13589504815934,0
"CNUX50",1,10,1,-3.13589504815934,0
"COI6B5",1,10,1,-3.13589504815934,0
"CQ3VK5",1,10,1,-3.13589504815934,0
"CQT28C",1,10,1,-3.13589504815934,0
"CU6EP1",1,10,1,-3.13589504815934,0
"CV15BM",1,10,1,-3.13589504815934,0
"CY35VS",1,10,1,-3.13589504815934,0
"CYAO67",1,10,1,-3.13589504815934,0
"CZ04VO",1,10,1,-3.13589504815934,0
"D09LSY",1,10,1,-3.13589504815934,0
"D0PI0R",1,10,1,-3.13589504815934,0
"DB00603",1,10,1,-3.13589504815934,0
"DB00171",3,5.5,2.33333333333333,-2.95944224994744,0
