Drug,N.Targets,N.Seedgenes,d.avg,zscore,pvalue
C01ANL,1,4,3.0,-0.5471529031050638,0.26
C01BFQ,3,7,2.0,-0.3450158076462933,0.52
C01CYU,1,7,3.0,,0.0
C01DHS,1,19,3.0,,0.0
C01DJX,1,11,2.0,,0.0
C01DMO,2,1,2.0,0.0,0.0
C01EVA,1,7,1.0,-3.3008717816215367,0.0
C01HMT,3,19,3.3333333333333335,1.6526292166008123,1.0
C01ICD,1,7,3.0,,0.0
C01JHI,3,11,2.6666666666666665,0.5459564115674083,0.63
C01JNE,1,7,3.0,0.4418360821684621,1.0
C01JOU,1,19,3.0,,0.0
C01JRH,1,19,4.0,3.446561747421316,1.0
C01JRM,1,7,1.0,-3.0899035625347433,0.0
C01KCU,1,7,2.0,,0.0
C01OML,1,4,3.0,,0.0
C01OZU,2,7,2.0,-0.3993541055216846,0.6
C01PGH,1,4,3.0,-0.5310850045437948,0.78
C01PMA,1,7,3.0,,0.0
C01PRA,1,7,3.0,0.6666666666666665,1.0
C01UFA,1,1,2.0,-0.9229582069908973,0.54
C01UNB,2,19,3.5,1.9079181101796572,1.0
C01VOH,1,7,0.0,-5.447341615277187,0.0
C01XGU,1,7,3.0,0.5675318095554227,0.92
C01ZNY,1,19,3.0,0.15294382258037464,0.9
C02AMZ,1,7,3.0,,0.0
C02AQY,2,11,3.0,0.7138448179310528,0.93
C02BUA,1,7,3.0,,0.0
C02BUX,1,7,4.0,1.6039133565428894,1.0
C02EUQ,3,19,3.3333333333333335,1.5897875017907845,1.0
C02HAV,1,1,3.0,-1.083472677771923,0.46
C02IYT,1,19,4.0,3.025207182525229,1.0
C02KAD,1,7,2.0,,0.0
C02KHV,1,4,4.0,,0.0
C02LWX,2,7,2.0,-0.3450158076462933,0.52
C02ONK,1,7,3.0,0.4418360821684621,1.0
C02PEI,1,4,3.0,-0.5471529031050638,0.26
C02PLA,3,1,2.0,-2.9623708453941133,0.0
C02QZX,1,7,1.0,-3.0899035625347433,0.0
C02TEP,1,19,3.0,-0.06898830747274062,0.89
C02TNX,1,11,3.0,0.4937419311010187,0.92
