Module	Targets_Count	Targets_Proportion	Avg.TFC
1	35	0.129151291512915	24.9176307191122
2	7	0.0843373493975904	31.0085722367322
3	0	0	15.4490138065394
4	32	0.16243654822335	26.6202109140908
5	14	0.0505415162454874	29.28836125366
6	5	0.0555555555555556	31.1220931321118
7	29	0.218045112781955	24.8855095770887
8	1	0.25	23.3268508847561
9	0	0	38.8787177588449
10	0	0	1.62772341584801
11	0	0	5.14485899876117
12	3	0.125	18.0339907642102
13	0	0	10.5235208382706
14	2	0.0344827586206897	30.3947018993635
15	0	0	12.9014825
16	0	0	16.3614685459277
17	0	0	80.8938972391543
18	0	0	27.888305
19	0	0	25.5342114131275
20	0	0	27.9579745487286
21	0	0	59.220145
22	2	0.5	34.2331564036906
23	0	0	33.31089
