name1	name2	module
ABAT	ACADSB	1
ABAT	ACSS1	1
ABAT	NPEPL1	1
ABAT	DBT	1
ABAT	ALDH8A1	1
ABAT	MSRA	1
ABAT	PLBD2	1
ABAT	ALDOB	1
ABAT	UPB1	1
ABAT	ALDH6A1	1
ABAT	HAGH	1
ABAT	ASS1	1
ABAT	ACADS	1
ABAT	ALDH4A1	1
ABAT	GRHPR	1
ABAT	ACSS3	1
ABAT	PLBD1	1
ABAT	PCCA	1
ABAT	EHHADH	1
ABAT	ALDH1B1	1
ABAT	ACSF3	1
ABAT	DAO	1
ABAT	AGXT2	1
ABAT	SCP2	1
ABCB1	SULT1A1	2
ABCB1	CYP3A7	2
ABCB1	UGT1A4	2
ABCB1	MRPS7	2
ABCB1	ABCF3	2
ABCB1	ATP2B2	2
ABCB1	CYP4F2	2
ABCB1	ATP2B4	2
ABCB11	MRPS7	2
ABCB11	ABCF3	2
ABCB11	BAAT	2
ABCB11	AKR1D1	2
ABCB11	UGT2B4	2
ABCB6	MRPS14	3
ABCC3	MRPS7	2
ABCC3	ABCF3	2
ACAA1	SLC25A20	1
ACAA1	ACSS1	1
ACAA1	GCDH	1
ACAA1	PEX11G	1
ACAA1	PEX11B	1
ACAA1	BDH2	1
ACAA1	NDUFA7	1
ACAA1	ACADS	1
ACAA1	AGPS	1
ACAA1	ECHDC2	1
ACAA1	ACOT8	1
ACAA1	PEX6	1
ACAA1	ACSS3	1
ACAA1	ALDH6A1	1
ACAA1	PCCA	1
ACAA1	ACADSB	1
ACAA1	ACSF3	1
ACAA1	EHHADH	1
ACAA1	ACAA2	1
ACAA1	BDH1	1
ACAA1	HAO2	1
ACAA1	MVK	1
ACAA1	DBT	1
ACAA1	SCP2	1
ACAA1	ACOX2	1
ACAA1	SUGCT	1
ACAA1	ACSL4	1
ACAA1	ACAD11	1
ACAA1	SLC27A2	1
ACAA1	PEX1	1
ACAA1	HMGCL	1
ACACB	GLS2	1
ACACB	ACOT12	1
ACACB	ALDH6A1	1
ACACB	AGXT2	1
ACACB	GLDC	1
ACACB	ACSL4	1
ACACB	MLYCD	1
ACACB	GPD1	1
ACACB	EHHADH	1
ACACB	ACSF3	1
ACACB	ACSS1	1
ACACB	DHTKD1	1
ACACB	KYNU	1
ACACB	ACSS3	1
ACADL	ETFDH	1
ACADL	BCKDHA	1
ACADL	PCCA	1
ACADL	HMGCL	1
ACADL	ACSL4	1
ACADL	ALDH6A1	1
ACADL	GCDH	1
ACADL	EHHADH	1
ACADL	SLC27A2	1
ACADL	FBP2	1
ACADL	HGD	1
ACADL	SLC25A20	1
ACADL	BCKDHB	1
ACADL	DBT	1
ACADL	ACADS	1
ACADL	ACADSB	1
ACADL	SCP2	1
ACADL	ECHDC2	1
ACADM	ALDOB	1
ACADM	BCAT2	1
ACADM	ACOX2	1
ACADM	IDH3B	1
ACADM	BCKDHB	1
ACADM	ETFDH	1
ACADM	DBT	1
ACADM	ALDH6A1	1
ACADM	FARSB	1
ACADM	PCCA	1
ACADM	ACADSB	1
ACADM	ACSF3	1
ACADM	MLYCD	1
ACADM	SLC25A20	1
ACADM	SCP2	1
ACADM	MCEE	1
ACADM	BCKDHA	1
ACADM	ECHDC2	1
ACADM	ACADS	1
ACADM	HMGCL	1
ACADM	ACSL4	1
ACADM	SLC27A2	1
ACADM	EHHADH	1
ACLY	KHK	1
ACLY	CLYBL	1
ACLY	SHMT1	1
ACLY	GPD2	1
ACLY	SQLE	1
ACLY	GPD1	1
ACLY	ME2	1
ACLY	IDH3B	1
ACLY	EHHADH	1
ACLY	GLS2	1
ACLY	IDH3G	1
ACLY	PFKP	1
ACLY	GLS	1
ACLY	ACSS1	1
ACLY	AGPAT1	1
ACLY	SLC25A20	1
ACLY	C12orf5	1
ACLY	DHTKD1	1
ACLY	HMGCL	1
ACLY	MTTP	1
ACLY	IDI1	1
ACLY	DBT	1
ACLY	CTH	1
ACLY	BCAT2	1
ACLY	NIT2	1
ACLY	MVK	1
ACLY	BCKDHB	1
ACLY	ALDOB	1
ACLY	ACSS3	1
ACLY	CROT	1
ACLY	PSAT1	1
ACLY	MLYCD	1
ACOT7	ACOT8	1
ACOT7	ECHDC2	1
ACOT7	SCP2	1
ACOT7	IDI1	1
ACSL1	ACSS1	1
ACSL1	GYS2	1
ACSL1	GPD1	1
ACSL1	SLC27A5	1
ACSL1	FARSB	1
ACSL1	SLC25A20	1
ACSL1	SLC27A2	1
ACSL1	ADHFE1	1
ACSL1	BDH1	1
ACSL1	AGPAT1	1
ACSL1	PEX11B	1
ACSL1	HMGCL	1
ACSL1	ACSL4	1
ACSL1	PXMP4	1
ACSL1	EHHADH	1
ACSL1	GCDH	1
ACSL1	SCP2	1
ACSL1	PEX16	1
ACSL1	AGPAT2	1
ACSL3	AUP1	1
ACSL3	ACSL4	1
ACSL3	AGPAT1	1
ACSL3	SLC27A5	1
ACSL3	SQLE	1
ACSL3	AGPAT2	1
ACSL3	LPCAT2	1
ACSL3	MLYCD	1
ACSL3	EHHADH	1
ACSL3	SLC27A2	1
ACSL3	FARSB	1
ACSL5	GYS2	1
