name	module
ABAT	1
ACAA1	1
ACACB	1
ACADL	1
ACADM	1
ACLY	1
ACOT7	1
ACSL1	1
ACSL3	1
ACSL5	1
ACSM3	1
ACSS2	1
AKR1B10	1
ALDH2	1
ARG1	1
ASL	1
BHMT	1
CAT	1
CPS1	1
CRYL1	1
DCXR	1
DPYS	1
ECHS1	1
FABP1	1
FABP4	1
FABP5	1
FAH	1
FBP1	1
FHIT	1
FTCD	1
G6PD	1
GALT	1
GLUD1	1
GLUD2	1
GNMT	1
GNPAT	1
GOT2	1
GPAM	1
GPT	1
GYS1	1
HADH	1
HK1	1
HK3	1
HKDC1	1
HMGCS2	1
HPD	1
KMO	1
MAT1A	1
MGLL	1
MLXIPL	1
MUT	1
OAT	1
OGDHL	1
PC	1
PCK1	1
PCK2	1
PEMT	1
PGM1	1
PHKB	1
PKM	1
PLIN2	1
PYGL	1
RGN	1
SCD	1
SLC2A2	1
SORD	1
UGP2	1
AADAT	1
ABCD1	1
ACAD11	1
ACAA2	1
ACOT13	1
AAK1	1
ACOT12	1
ACOX2	1
ACOT8	1
ACADSB	1
ACADS	1
ACSL4	1
ACSS1	1
ADHFE1	1
ADSS	1
AGXT2	1
ACSF3	1
ACSS3	1
ALDH1B1	1
ANGPTL3	1
ACY1	1
AASS	1
ALDH4A1	1
ALDOB	1
ALDH1L1	1
AGL	1
BCAT2	1
ALDH8A1	1
BDH2	1
AIFM2	1
AADAC	1
CBSL	1
ADSSL1	1
ASS1	1
ALDH6A1	1
BDH1	1
DBT	1
BCKDHA	1
ABHD14B	1
EHHADH	1
EPHX2	1
AGPAT2	1
ENO3	1
ADK	1
DAK	1
C12orf5	1
DMGDH	1
DAO	1
CKAP4	1
FBP2	1
B4GALT1	1
GLDC	1
GGT5	1
GLS2	1
GCSH	1
ASPG	1
BCKDHB	1
GLS	1
DHTKD1	1
GAMT	1
ENTPD8	1
FARSB	1
GDA	1
BHMT2	1
CTH	1
AGPS	1
CROT	1
DHRS4	1
AGPAT1	1
FAM120B	1
EHD4	1
ASPDH	1
AFMID	1
GPD1	1
GOLT1B	1
GBE1	1
GYG2	1
GCDH	1
ETFDH	1
ECHDC2	1
HAGH	1
GNPNAT1	1
GLYCTK	1
GYS2	1
BCKDK	1
HGD	1
HMGCL	1
HAO2	1
GLYAT	1
GSTZ1	1
HAAO	1
ACMSD	1
LBP	1
AUP1	1
DAGLB	1
LPCAT2	1
ABHD11	1
KHK	1
MCEE	1
ACY3	1
GRHPR	1
HAL	1
HOGA1	1
EMC1	1
GPD2	1
NRD1	1
NIT2	1
IDH3B	1
IDH3G	1
LDHD	1
ME2	1
CLYBL	1
MTHFD1	1
MED24	1
PCYT1A	1
MTTP	1
OTC	1
PFKP	1
GPD1L	1
ITPA	1
ALG1	1
NPEPL1	1
PGM2L1	1
PFKFB1	1
PHKA2	1
NME7	1
GUCY1A3	1
KYNU	1
PHKG2	1
IDNK	1
PBLD	1
COBL	1
ITIH3	1
PAH	1
PIPOX	1
SLC27A5	1
SERPINA10	1
SHMT1	1
PGP	1
FAHD2A	1
BROX	1
RBKS	1
ARIH2	1
PSAT1	1
SPG21	1
MSRA	1
PLBD2	1
UPB1	1
PLBD1	1
PCCA	1
SCP2	1
SLC25A20	1
PEX11G	1
PEX11B	1
NDUFA7	1
PEX6	1
MVK	1
SUGCT	1
SLC27A2	1
PEX1	1
MLYCD	1
SQLE	1
IDI1	1
PXMP4	1
PEX16	1
SCAMP2	1
TTC36	1
SARDH	1
XPNPEP2	1
PMVK	1
PTGR1	1
DHRS1	1
AKR7A3	1
PRODH	1
RMDN1	1
SRM	1
SUOX	1
UROC1	1
TDO2	1
SDSL	1
SDS	1
SELENBP1	1
TAT	1
PHYHD1	1
HAO1	1
ZADH2	1
XDH	1
CRYM	1
WDR26	1
VIL1	1
HRSP12	1
GID8	1
SERPINB1	1
TMPRSS6	1
GNS	1
UXS1	1
PDPR	1
LPGAT1	1
PDCD10	1
SRI	1
PTDSS1	1
SHPK	1
SLC37A4	1
SLC25A15	1
ABCB1	2
ABCB11	2
ABCC3	2
ADH1B	2
ADH4	2
AKR1C4	2
ALOX5	2
ARFIP1	2
CES1	2
COMT	2
CYP1A2	2
CYP2A6	2
CYP2B6	2
CYP2C8	2
CYP2C9	2
CYP2D6	2
CYP2E1	2
CYP2J2	2
CYP3A4	2
CYP3A5	2
CYP7A1	2
CYP8B1	2
HSD11B1	2
PON1	2
SLC22A1	2
SLCO1B1	2
SLCO1B3	2
SLCO2B1	2
SULT2A1	2
ADH1A	2
ADH1C	2
ADH6	2
AOX1	2
BAAT	2
CA5A	2
ATP2B4	2
CES2	2
AKR1D1	2
CYP3A7	2
CYP4A22	2
ABCF3	2
CYP4A11	2
AMDHD1	2
FMO3	2
BLVRA	2
GSTA1	2
GSTA2	2
FMO5	2
MNDA	2
MRPS7	2
ATP2B2	2
MGST1	2
ASGR2	2
CYP4F2	2
ABCC6	2
SULT1E1	2
HSD17B2	2
SULT1A1	2
SULT1B1	2
FRK	2
SULT1A2	2
HSD17B8	2
HSD17B6	2
UGT1A4	2
PRODH2	2
UGT2B10	2
TMEM176B	2
UGT2B4	2
UGT2B17	2
IFI30	2
UGT2B15	2
RDH16	2
OCIAD2	2
PTGIS	2
PTGS1	2
PON3	2
CYP4F11	2
FGGY	2
REPIN1	2
UGT1A1	2
UGT1A6	2
UGT1A9	2
UGT2B7	2
ABCB6	3
MRPS14	3
ACTL6A	4
APEX1	4
BIRC6	4
CARM1	4
CBX3	4
CDK2	4
CDK9	4
CHD1L	4
CUL4B	4
DAXX	4
EHMT2	4
EP400	4
FEN1	4
FHL2	4
FOXK1	4
GABPA	4
H1F0	4
HCFC1	4
HDAC1	4
HDAC2	4
HDAC6	4
HIST1H1B	4
HMGA1	4
HMGB3	4
HUWE1	4
KDM1A	4
MCM2	4
MCM3	4
MCM6	4
MRE11A	4
MSH2	4
MSH6	4
NASP	4
NR3C1	4
OGT	4
PARP1	4
PCNA	4
PELP1	4
PRKDC	4
PTMA	4
RAD21	4
RBBP4	4
RBBP5	4
RBBP7	4
RBX1	4
RECQL	4
RFC3	4
RFC4	4
RFC5	4
RPA1	4
RPA2	4
RPRD1B	4
SIN3A	4
SIRT2	4
SMAD2	4
SMARCA4	4
SMARCA5	4
SMARCB1	4
SMC1A	4
SMC3	4
SSRP1	4
SUMO1	4
SUPT16H	4
TOP1	4
TRIM28	4
TRRAP	4
UBE2I	4
UNG	4
WDR5	4
XRCC5	4
ANP32A	4
BANF1	4
BUB3	4
CDC5L	4
ANAPC5	4
ANAPC1	4
BCCIP	4
ANAPC2	4
CCNY	4
ANAPC7	4
CDC73	4
CDK6	4
CKAP5	4
ARFGEF1	4
COPS7B	4
DYNC1H1	4
DYNC1I2	4
DPY30	4
CSNK2A2	4
CHMP4B	4
DR1	4
ANP32E	4
DTYMK	4
DNAJC9	4
DUT	4
ELP3	4
DCAF11	4
DEK	4
GCAT	4
C17orf49	4
GLYATL1	4
HAT1	4
GTF2I	4
CHMP5	4
H1FX	4
GPS1	4
HMGB2	4
HERC2	4
ERBB2IP	4
KNTC1	4
MCM4	4
CHAMP1	4
BRCC3	4
MCMBP	4
KIF2A	4
NAP1L1	4
NUP37	4
MED23	4
NPLOC4	4
OSGEP	4
DCTPP1	4
POLR2A	4
POLR2B	4
CTDP1	4
NELFB	4
POLR2C	4
INTS3	4
KDM3B	4
MTA2	4
MCTS1	4
POLR2H	4
PPP4R2	4
PDS5A	4
PDS5B	4
PHC2	4
PSIP1	4
NAE1	4
RAD50	4
PURB	4
DRG2	4
MMS19	4
RUVBL2	4
RNF20	4
SKP1	4
SAE1	4
RCC2	4
PPM1G	4
SP100	4
PARP14	4
SMARCC2	4
SMARCE1	4
SMEK1	4
SYMPK	4
SUB1	4
TCOF1	4
SUPT5H	4
SUPT6H	4
PPP1R8	4
TES	4
SMARCD2	4
SMG1	4
TBL1XR1	4
UBA3	4
UBA2	4
UBE2M	4
TCEA1	4
UBE4A	4
UFD1L	4
SSBP1	4
THOC6	4
USP7	4
SET	4
UBR5	4
PARP4	4
NAA15	4
XRCC1	4
TMPO	4
UIMC1	4
WHSC1	4
TSNAX	4
USP24	4
WRNIP1	4
VBP1	4
UBR4	4
TUBG1	4
UBE2H	4
UBAP2L	4
TOP3B	4
STK4	4
WDR61	4
UBTF	4
TCEB2	4
RPRD2	4
WDR82	4
VPRBP	4
SYVN1	4
XRCC6	4
AGO2	5
CELF1	5
CHD4	5
CIRBP	5
CPSF7	5
DDX17	5
DDX3X	5
DDX5	5
DHX9	5
EIF2S2	5
ELAVL1	5
EWSR1	5
FBL	5
FUBP1	5
HNRNPA1	5
HNRNPC	5
HNRNPDL	5
HNRNPK	5
HNRNPL	5
HNRNPU	5
ILF2	5
ILF3	5
KHDRBS1	5
MATR3	5
METTL3	5
NAT10	5
NCL	5
NONO	5
PDCD4	5
PES1	5
POLR2E	5
PRMT1	5
PRMT5	5
PRPF31	5
PTBP1	5
RUVBL1	5
SAFB	5
SF3B4	5
SFPQ	5
SRRM2	5
API5	5
ACIN1	5
ALYREF	5
BCLAF1	5
CPSF6	5
CPSF1	5
CEBPZ	5
DDX1	5
ATXN2L	5
ATXN2	5
CSTF1	5
CNOT1	5
CAPRIN1	5
ASCC3	5
DDX18	5
CTPS2	5
DDX39B	5
DDX21	5
DDX49	5
DDX23	5
CTNNBL1	5
DDX56	5
DDX46	5
DDX6	5
DHX15	5
DHX36	5
DDX54	5
DDX39A	5
DAZAP1	5
DHX29	5
DRG1	5
BZW1	5
EDC4	5
EIF3G	5
EFTUD2	5
DNAJC8	5
EIF3B	5
CSTF2	5
EIF4H	5
EIF3A	5
EIF4A3	5
ANP32B	5
CSTF3	5
DKC1	5
ERH	5
ASPSCR1	5
EXOSC3	5
DIS3	5
CTPS1	5
EIF3D	5
ETF1	5
FARSA	5
CSTF2T	5
