UniprotAC,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
P00734,DB00001,DB00006,DB00055,DB00100,DB00170,DB00278,DB01123,DB01225,DB01593,DB01725,DB01766,DB01767,DB02287,DB02723,DB03136,DB03159,DB03847,DB03865,DB04136,DB04591,DB04697,DB04722,DB04771,DB04772,DB04786,DB04898,DB05714,DB05777,DB06404,DB06695,DB06838,DB06841,DB06845,DB06850,DB06853,DB06858,DB06859,DB06861,DB06865,DB06866,DB06868,DB06869,DB06878,DB06911,DB06919,DB06929,DB06936,DB06942,DB06947,DB06996,DB07005,DB07016,DB07027,DB07083,DB07088,DB07091,DB07095,DB07105,DB07120,DB07128,DB07131,DB07133,DB07143,DB07165,DB07190,DB07211,DB07277,DB07278,DB07279,DB07353,DB07366,DB07376,DB07400,DB07440,DB07461,DB07508,DB07515,DB07521,DB07522,DB07527,DB07548,DB07549,DB07550,DB07639,DB07658,DB07659,DB07660,DB07665,DB07718,DB07741,DB07796,DB07809,DB07897,DB07934,DB07944,DB07946,DB08061,DB08062,DB08152,DB08187,DB08254,DB08422,DB08546,DB08624,DB09109,DB09130,DB09228,DB09332,DB11166,DB12598,DB12831,DB13151,DB13152,DB14487,DB14738,,,,,,,,,,,,,,,,,,,,,,
O75015,DB00002,DB00005,DB00028,DB00056,DB00075,DB00087,DB00092,DB00108,DB00110,DB00111,DB06607,DB11767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12318,DB00002,DB00005,DB00028,DB00054,DB00087,DB00111,DB00112,DB06607,DB11767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02746,DB00002,DB00110,DB00111,DB00112,DB01593,DB14487,DB14533,DB14548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12314,DB00002,DB00005,DB00028,DB00056,DB00087,DB00108,DB00110,DB00111,DB00112,DB00707,DB06607,DB11767,DB14962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02747,DB00002,DB00110,DB00111,DB00112,DB01593,DB09130,DB14487,DB14533,DB14548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P00533,DB00002,DB00281,DB00317,DB00530,DB01259,DB01269,DB03496,DB04988,DB05101,DB05294,DB05374,DB05424,DB05524,DB05944,DB06021,DB07602,DB07662,DB08916,DB09330,DB09559,DB10772,DB11731,DB11737,DB11828,DB11963,DB12010,DB12114,DB12202,DB12267,DB13164,DB15035,DB15327,DB16390,DB16695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08637,DB00002,DB00005,DB00028,DB00056,DB00087,DB00092,DB00110,DB00111,DB00112,DB06607,DB11767,DB12023,DB16695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02745,DB00002,DB00005,DB00110,DB00111,DB00112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31785,DB00004,DB00041,DB05943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P01589,DB00004,DB00041,DB00074,DB00111,DB15628,DB16411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P14784,DB00004,DB00041,DB00074,DB00111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31994,DB00005,DB00028,DB00054,DB00081,DB00087,DB00098,DB00110,DB00111,DB00112,DB11767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P01375,DB00005,DB00051,DB00065,DB00608,DB00668,DB00852,DB01407,DB01411,DB01427,DB04297,DB04956,DB05017,DB05207,DB05218,DB05303,DB05412,DB05470,DB05513,DB05744,DB05758,DB05767,DB05869,DB05879,DB05968,DB05992,DB06444,DB06495,DB06674,DB08904,DB08910,DB09221,DB10770,DB10772,DB11752,DB11967,DB12140,DB13751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31995,DB00005,DB00028,DB00087,DB00111,DB00112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P01374,DB00005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P30968,DB00007,DB00014,DB00050,DB00106,DB00644,DB00666,DB01406,DB05624,DB06494,DB06699,DB06719,DB06785,DB06788,DB06825,DB11619,DB11853,DB11979,DB17083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17181,DB00008,DB00011,DB00018,DB00022,DB00034,DB00060,DB00068,DB00069,DB00105,DB05258,DB05472,DB09122,DB11976,DB14999,DB15119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P48551,DB00008,DB00011,DB00018,DB00022,DB00034,DB00060,DB00068,DB00069,DB00105,DB05472,DB06152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05121,DB00009,DB00013,DB00015,DB00029,DB00031,DB00055,DB00197,DB02587,DB05254,DB09130,DB13242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02679,DB00009,DB11300,DB11571,DB11572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P00747,DB00009,DB00013,DB00015,DB00029,DB00031,DB00086,DB00302,DB00513,DB03709,DB04925,DB06692,DB09130,DB12831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02671,DB00009,DB00015,DB00029,DB00031,DB00364,DB01593,DB04919,DB05099,DB05675,DB06245,DB11300,DB11311,DB11571,DB11572,DB13151,DB14487,DB14533,DB14548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02643,DB00010,DB08869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P19235,DB00012,DB00016,DB07637,DB08894,DB09107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05154,DB00013,DB00055,DB05413,DB05961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P98164,DB00013,DB00030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05120,DB00013,DB00031,DB06245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q03405,DB00013,DB00031,DB05476,DB06245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Y5Y6,DB00013,DB03127,DB13729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P14543,DB00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22888,DB00014,DB00032,DB00044,DB00050,DB00097,DB06719,DB09126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P30988,DB00017,DB01278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99062,DB00019,DB00099,DB05249,DB13144,DB13200,DB15001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P13727,DB00020,DB06752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
