"DrugID","Indication"
"D00ABE","Ischemia [ICD-11: 8B10-8B11] Phase 2"
"D00ABE","Peripheral arterial disease [ICD-11: BD4Z] Phase 2"
"D00ABO","Acute myeloid leukaemia [ICD-11: 2A60] Phase 1"
"D00ABW","Hormone deficiency [ICD-11: 5A61.1] Discontinued in Phase 1"
"D00ACC","Depression [ICD-11: 6A70-6A7Z] Discontinued in Phase 1"
"D00ACH","Bacterial infection [ICD-11: 1A00-1C4Z] Terminated"
"D00ACP","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Investigative"
"D00ADV","Gram-positive bacterial infection [ICD-11: 1B74-1G40] Terminated"
"D00AEQ","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Approved"
"D00AES","Recurrent glioblastoma [ICD-11: 2A00.00] Phase 2"
"D00AEV","Human immunodeficiency virus infection [ICD-11: 1C62] Approved"
"D00AHT","Non-small-cell lung cancer [ICD-11: 2C25.Y] Phase 2"
"D00AHT","Metastatic melanoma [ICD-11: 2E2Z] Phase 1"
"D00AHT","Melanoma [ICD-11: 2C30] Phase 1"
"D00AHV","Central nervous system disease [ICD-11: 8A04-8D87] Investigative"
"D00AIS","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Investigative"
"D00AIZ","Mycobacterium infection [ICD-11: 1B10-1B21] Investigative"
"D00AJI","Neuropathic pain [ICD-11: 8E43.0] Discontinued in Phase 2"
"D00AJS","Non-insulin dependent diabetes [ICD-11: 5A11] Investigative"
"D00AKL","Influenza virus infection [ICD-11: 1E30-1E32] Phase 2"
"D00AKQ","Chronic obstructive pulmonary disease [ICD-11: CA22] Phase 2"
"D00AKR","Breast cancer [ICD-11: 2C60-2C65] Phase 2"
"D00AKV","Liver disease [ICD-11: DB90-BD99] Phase 2"
"D00AKY","Asthma [ICD-11: CA23] Discontinued in Phase 2"
"D00ALE","Influenza virus infection [ICD-11: 1E30-1E32] Approved"
"D00ALJ","Peripheral vascular disease [ICD-11: BD4Z] Phase 2"
"D00AMQ","Cystitis [ICD-11: GC00] Approved"
"D00AMQ","Chronic pain [ICD-11: MG30] Approved"
"D00ANG","Anemia [ICD-11: 3A00-3A9Z] Phase 1/2"
"D00AOJ","Herpes simplex virus infection [ICD-11: 1F00] Approved"
"D00AQP","Middle East Respiratory Syndrome (MERS) [ICD-11: 1D64] Investigative"
"D00AQV","Small-cell lung cancer [ICD-11: 2C25.Y] Investigative"
"D00AQY","Obesity [ICD-11: 5B81] Preclinical"
"D00ARN","Cystic fibrosis [ICD-11: CA25] Terminated"
"D00ARS","Type-1 diabetes [ICD-11: 5A10] Phase 2"
"D00ARS","Type-2 diabetes [ICD-11: 5A11] Phase 2"
"D00ASJ","Salmonella infection [ICD-11: 1A09] Approved"
"D00ASX","Hyperlipidaemia [ICD-11: 5C80] Investigative"
"D00AUC","Diagnostic imaging [ICD-11: N.A.] Phase 2"
"D00AUM","Neuropathic pain [ICD-11: 8E43.0] Investigative"
"D00AUX","Type-2 diabetes [ICD-11: 5A11] Phase 2"
"D00AUZ","Inflammation [ICD-11: 1A00-CA43.1] Investigative"
"D00AVG","Hepatitis B virus infection [ICD-11: 1E51.0] Investigative"
"D00AVH","Bacterial infection [ICD-11: 1A00-1C4Z] Phase 2"
"D00AWA","Emphysema [ICD-11: CA21] Terminated"
"D00AWT","Psychiatric disorder [ICD-11: 6E8Z] Approved"
