"GeneName","Type"
"ABAT","T"
"ABCB1","T"
"ABCB11","T"
"ACACB","T"
"ACADM","T"
"ACLY","T"
"ACSL1","T"
"ACSS2","T"
"ADH1B","T"
"ADH4","T"
"AKR1B10","T"
"AKR1C4","T"
"ALAD","T"
"ALDH2","T"
"ALOX5","T"
"ANO1","T"
"ANXA2","T"
"AOC3","T"
"APEX1","T"
"APOE","T"
"APP","T"
"ARG1","T"
"ASL","T"
"ATG7","T"
"BAX","T"
"BHMT","T"
"CAPN2","T"
"CARM1","T"
"CASP3","T"
"CASP8","T"
"CAT","T"
"CD40","T"
"CDK2","T"
"CDK5","T"
"CDK9","T"
"CES1","T"
"CFH","T"
"CLIC1","T"
"COL18A1","T"
"COL1A1","T"
"COMT","T"
"CPS1","T"
"CSNK1A1","T"
"CUL4B","T"
"CYP1A2","T"
"CYP2A6","T"
"CYP2B6","T"
"CYP2C8","T"
"CYP2C9","T"
"CYP2D6","T"
"CYP2E1","T"
"CYP3A4","T"
"CYP3A5","T"
"DCXR","T"
"DDX5","T"
"DPP4","T"
"ECHS1","T"
"EHMT2","T"
"ELAVL1","T"
"EPCAM","T"
"F2","T"
"FABP1","T"
"FABP4","T"
"FABP5","T"
"FAH","T"
"FBP1","T"
"FEN1","T"
"FHIT","T"
"FKBP1A","T"
"FN1","T"
"FTCD","T"
"FUBP1","T"
"G6PD","T"
"GLUD1","T"
"GLUD2","T"
"GMPS","T"
"GNMT","T"
"GOT2","T"
"GPT","T"
"GSK3B","T"
"GSN","T"
"HADH","T"
"HDAC1","T"
"HDAC2","T"
"HDAC6","T"
"HGS","T"
"HK1","T"
"HLA-A","T"
"HMGCS2","T"
"HMOX1","T"
"HNRNPA1","T"
"HNRNPK","T"
"HNRNPL","T"
"HPD","T"
"HSD11B1","T"
"HSP90AB1","T"
"HSPA1A","T"
"HSPA4","T"
"HSPB1","T"
"HSPG2","T"
"HTT","T"
"IGF2R","T"
"IL18","T"
"INSR","T"
"IRF3","T"
"ITGB5","T"
"KDM1A","T"
"KMO","T"
"LGALS3","T"
"MAN2A1","T"
"MAPK1","T"
"MAPK14","T"
"MAPK3","T"
"MARCKS","T"
"MAT1A","T"
"MBL2","T"
"MGEA5","T"
"MGLL","T"
"MME","T"
"MMP9","T"
"MPO","T"
"MRC1","T"
"MTOR","T"
"MUT","T"
"NCK1","T"
"NCL","T"
"NFKB2","T"
"NOS3","T"
"NPM1","T"
"NR3C1","T"
"OAT","T"
"PAK2","T"
"PARP1","T"
"PC","T"
"PCK1","T"
"PCNA","T"
"PGM1","T"
"PHGDH","T"
"PKM","T"
"PON1","T"
"PPOX","T"
"PRKCD","T"
"PRKDC","T"
"PRMT1","T"
"PRMT5","T"
"PTK2","T"
"PTPN1","T"
"PYGL","T"
"RELA","T"
"RGN","T"
"RHEB","T"
"RIPK1","T"
"S100A10","T"
"SCD","T"
"SERPINF1","T"
"SF3B4","T"
"SFPQ","T"
"SIRT2","T"
"SLC22A1","T"
"SLC2A2","T"
"SLC46A1","T"
"SLCO1B1","T"
"SLCO1B3","T"
"SLCO2B1","T"
"SMAD2","T"
"SMARCA4","T"
"SMARCA5","T"
"SORD","T"
"SQSTM1","T"
"SSRP1","T"
"STAT1","T"
"STMN1","T"
"SULT2A1","T"
"SUMO1","T"
"TAB1","T"
"TFRC","T"
"TGM2","T"
"TOP1","T"
"TSG101","T"
"UNG","T"
"UTRN","T"
"WDR5","T"
"WNK1","T"
"XPO1","T"
"AADAT","T"
"ACAA2","T"
"ACOT13","T"
"AAK1","T"
"ACADSB","T"
"ACADS","T"
"ACSL4","T"
"ACSS1","T"
"ADH1A","T"
"ADH1C","T"
"ADSS","T"
"AGXT2","T"
"ALDH18A1","T"
"ALDH1B1","T"
"ANGPTL3","T"
"APOA4","T"
"ACY1","T"
"AASS","T"
"ALDH4A1","T"
"ALDOB","T"
"ALDH1L1","T"
"BCAT2","T"
"AOX1","T"
"BAAT","T"
"CD163","T"
"CD38","T"
"CD46","T"
"CD59","T"
"BBOX1","T"
"CDK6","T"
"CA5A","T"
"CDA","T"
"CLASP1","T"
"ADSSL1","T"
"CAD","T"
"ASS1","T"
"ATP1B3","T"
"AKR1D1","T"
"CYP3A7","T"
"ALDH6A1","T"
"DDX39B","T"
"DDX6","T"
"BDH1","T"
"CSNK2B","T"
"EIF2AK2","T"
"EIF2AK4","T"
"CSNK2A2","T"
"EEF1A2","T"
"EIF2B1","T"
"DSP","T"
"F13A1","T"
"CYP4A11","T"
"EHHADH","T"
"EPHX2","T"
"AGPAT2","T"
"ENO3","T"
"ADK","T"
"CTPS1","T"
"FARSA","T"
"DTYMK","T"
"DUT","T"
"DEPTOR","T"
"DAO","T"
"FBP2","T"
"ASNA1","T"
"B4GALT1","T"
"GLDC","T"
"GLS2","T"
"GCSH","T"
"ASPG","T"
"GLS","T"
"AARS2","T"
"GAMT","T"
"ENTPD1","T"
"FARSB","T"
"GARS","T"
"GDA","T"
"BHMT2","T"
"CTH","T"
"CROT","T"
"DHRS4","T"
"CA2","T"
"GPD1","T"
"GBA","T"
"CTSA","T"
"GSK3A","T"
"GCAT","T"
"GCDH","T"
"ETFDH","T"
"GLYATL1","T"
"ATP6V0A1","T"
"HAGH","T"
"HCK","T"
"BCKDK","T"
"GM2A","T"
"HMGCL","T"
"HAO2","T"
