"GeneName","Type"
"ABAT","T"
"ABCB1","T"
"ABCB11","T"
"ACACB","T"
"ACADM","T"
"ACLY","T"
"ACSL1","T"
"ACSS2","T"
"ADH1B","T"
"ADH4","T"
"AKR1B10","T"
"AKR1C4","T"
"ALDH2","T"
"ALOX5","T"
"ANO1","T"
"ANXA2","T"
"AOC3","T"
"APEX1","T"
"APOE","T"
"ARG1","T"
"ASL","T"
"BHMT","T"
"CARM1","T"
"CAT","T"
"CD40","T"
"CDK2","T"
"CDK9","T"
"CES1","T"
"CFH","T"
"COL18A1","T"
"COL1A1","T"
"COMT","T"
"CPS1","T"
"CUL4B","T"
"CYP1A2","T"
"CYP2A6","T"
"CYP2B6","T"
"CYP2C8","T"
"CYP2C9","T"
"CYP2D6","T"
"CYP2E1","T"
"CYP3A4","T"
"CYP3A5","T"
"DCXR","T"
"DDX5","T"
"DPP4","T"
"ECHS1","T"
"EHMT2","T"
"ELAVL1","T"
"EPCAM","T"
"F2","T"
"FABP1","T"
"FABP4","T"
"FABP5","T"
"FAH","T"
"FBP1","T"
"FEN1","T"
"FHIT","T"
"FN1","T"
"FTCD","T"
"FUBP1","T"
"G6PD","T"
"GLUD1","T"
"GLUD2","T"
"GNMT","T"
"GOT2","T"
"GPT","T"
"GSN","T"
"HADH","T"
"HDAC1","T"
"HDAC2","T"
"HDAC6","T"
"HGS","T"
"HK1","T"
"HMGCS2","T"
"HNRNPA1","T"
"HNRNPK","T"
"HNRNPL","T"
"HPD","T"
"HSD11B1","T"
"HSP90AB1","T"
"HSPA1A","T"
"HSPA4","T"
"HSPG2","T"
"IGF2R","T"
"IL18","T"
"ITGB5","T"
"KDM1A","T"
"KMO","T"
"LGALS3","T"
"MAN2A1","T"
"MAT1A","T"
"MGLL","T"
"MME","T"
"MMP9","T"
"MPO","T"
"MRC1","T"
"MUT","T"
"NCK1","T"
"NCL","T"
"NOS3","T"
"NPM1","T"
"NR3C1","T"
"OAT","T"
"PAK2","T"
"PARP1","T"
"PC","T"
"PCK1","T"
"PCNA","T"
"PGM1","T"
"PKM","T"
"PON1","T"
"PRKDC","T"
"PRMT1","T"
"PRMT5","T"
"PTK2","T"
"PYGL","T"
"RGN","T"
"SCD","T"
"SERPINF1","T"
"SF3B4","T"
"SFPQ","T"
"SIRT2","T"
"SLC22A1","T"
"SLC2A2","T"
"SLCO1B1","T"
"SLCO1B3","T"
"SLCO2B1","T"
"SMAD2","T"
"SMARCA4","T"
"SMARCA5","T"
"SORD","T"
"SSRP1","T"
"SULT2A1","T"
"SUMO1","T"
"TFRC","T"
"TGM2","T"
"TOP1","T"
"TSG101","T"
"UNG","T"
"UTRN","T"
"WDR5","T"
"WNK1","T"
"XPO1","T"
"AADAT","T"
"ACAA2","T"
"ACOT13","T"
"AAK1","T"
"ACADSB","T"
"ACADS","T"
"ACSL4","T"
"ACSS1","T"
"ADH1A","T"
"ADH1C","T"
"ADSS","T"
"AGXT2","T"
"ALDH1B1","T"
"ANGPTL3","T"
"ACY1","T"
"AASS","T"
"ALDH4A1","T"
"ALDOB","T"
"ALDH1L1","T"
"BCAT2","T"
"AOX1","T"
"BAAT","T"
"CD163","T"
"CD38","T"
"CD46","T"
"CD59","T"
"CDK6","T"
"CA5A","T"
"ADSSL1","T"
"ASS1","T"
"AKR1D1","T"
"CYP3A7","T"
"ALDH6A1","T"
"DDX39B","T"
"DDX6","T"
"BDH1","T"
"CSNK2A2","T"
"EEF1A2","T"
"DSP","T"
"F13A1","T"
"CYP4A11","T"
"EHHADH","T"
"EPHX2","T"
"AGPAT2","T"
"ENO3","T"
"ADK","T"
"CTPS1","T"
"FARSA","T"
"DTYMK","T"
"DUT","T"
"DAO","T"
"FBP2","T"
"B4GALT1","T"
"GLDC","T"
"GLS2","T"
"GCSH","T"
"ASPG","T"
"GLS","T"
"GAMT","T"
"ENTPD1","T"
"FARSB","T"
"GDA","T"
"BHMT2","T"
"CTH","T"
"CROT","T"
"DHRS4","T"
"GPD1","T"
"CTSA","T"
"GCAT","T"
"GCDH","T"
"ETFDH","T"
"GLYATL1","T"
"ATP6V0A1","T"
"HAGH","T"
"HCK","T"
"BCKDK","T"
"HMGCL","T"
"HAO2","T"
"FTL","T"
"BLVRA","T"
"GSTA1","T"
"GSTA2","T"
"HNRNPH1","T"
"HNRNPH3","T"
"HNRNPF","T"
"GLYAT","T"
"GSTZ1","T"
"FKBP5","T"
"GAK","T"
"HSPA2","T"
"HSPH1","T"
"IGFBP7","T"
"FCGR2B","T"
"INPP5D","T"
"LAMC1","T"
"LAMB1","T"
"HEXB","T"
"LYN","T"
"KHSRP","T"
"DARS2","T"
"LBP","T"
"DAGLB","T"
"LPCAT2","T"
"KHK","T"
"IDE","T"
"LTF","T"
"BRCC3","T"
"LSM6","T"
"IMPDH2","T"
"NOP2","T"
"ATP2B1","T"
"NEK7","T"
"HAL","T"
"IDH3B","T"
"IDH3G","T"
"ARL1","T"
"ME2","T"
"MTHFD1","T"
"PABPC1","T"
"PCYT1A","T"
"MTTP","T"
"OTC","T"
"ITPA","T"
"PFKFB1","T"
"POLR2A","T"
"POLR2B","T"
"POLR2C","T"
"LPA","T"
"NID1","T"
"PPIH","T"
"PAPOLA","T"
"NUDC","T"
"KYNU","T"
"PHKG2","T"
"PSIP1","T"
"NAE1","T"
"MGST1","T"
