"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","module","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","NumChildren","NumDescendents","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"82","3.85840708","0.0","0.25917431","0.0","1","6","false",,"ZFPL1","27.0","1","0",,,"0","0.59165613","false","0","ZFPL1","0","0.0"
"83","4.30147493","0.0","0.2324784","0.0","1","6","false","22","WNK3","9.0","1","0",,,"0","0.52836072","false","0","WNK3","0","0.0"
"84","4.20766962","0.0","0.23766125","0.0","1","6","false","14","ZNF787","38.0","1","0",,,"0","0.54176148","false","0","ZNF787","0","0.0"
"85","3.59882006","0.0","0.27786885","0.0","1","5","false",,"YIPF3","57.0","1","0",,,"0","0.62873999","false","0","YIPF3","0","0.0"
"86","3.83185841","0.0","0.26096998","0.0","1","6","false",,"TUBB2B","27.0","1","0",,,"0","0.5954488","false","0","TUBB2B","0","0.0"
"87","3.33923304","3.34E-6","0.29946996","0.0","2","5","false",,"SSSCA1","74.0","2","0",,,"0","0.66582385","false","0","SSSCA1","194","0.51048951"
"88","3.44660767","0.0","0.29014036","0.0","1","5","false",,"ZFYVE16","58.0","1","0",,,"0","0.65048462","false","0","ZFYVE16","0","0.0"
"89","3.87551622","0.0","0.25803014","0.0","1","6","false","1","SLC37A4","43.0","1","0",,,"0","0.58921197","false","0","SLC37A4","0","0.0"
"90","4.01887906","0.0","0.2488256","0.0","1","6","false",,"SLC19A3","20.0","1","0",,,"0","0.56873156","false","0","SLC19A3","0","0.0"
"91","3.66725664","0.0","0.2726834","0.0","1","6","false",,"TTC37","88.0","1","0",,,"0","0.61896334","false","0","TTC37","0","0.0"
"92","3.36696165","3.485E-5","0.29700368","0.0","2","5","false",,"TSPAN9","69.0","2","0",,,"0","0.66186262","false","0","TSPAN9","1576","0.5"
"93","3.66725664","0.0","0.2726834","0.0","1","6","false",,"SRP19","88.0","1","0",,,"0","0.61896334","false","0","SRP19","0","0.0"
