"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","module","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","NumChildren","NumDescendents","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"236","3.12084347","8.803E-5","0.3204262","0.33333333","3","5","false","17","MRPL57","115.33333333","3","0",,,"0","0.69702236","false","0","MRPL57","10998","0.40492958"
"711","3.12327656","5.02E-5","0.32017658","0.16666667","4","5","false","4","PPP1R8","71.25","4","0",,,"0","0.69667478","false","0","PPP1R8","1696","0.34681373"
"1616","2.25304136","0.03413465","0.44384449","0.14879891","154","4","false","5","FBL","47.87012987","154","0",,,"0","0.82099409","false","0","FBL","876736","0.05873636"
"1052","2.77615572","0.00311738","0.36021034","0.25132275","28","4","false","7","THY1","27.5","28","0",,,"0","0.74626347","false","0","THY1","86760","0.08355177"
"237","2.9513382","9.758E-5","0.33882935","0.5","4","5","false","17","MRPL15","108.25","4","0",,,"0","0.7212374","false","0","MRPL15","11262","0.31468023"
"1617","2.40632603","0.01344709","0.41557128","0.17369348","131","5","false","5","DDX3X","50.15267176","131","0",,,"0","0.79909628","false","0","DDX3X","393766","0.07618506"
"1618","2.72911598","0.00136347","0.36641902","0.1773399","29","5","false","6","AHSA1","33.96551724","29","0",,,"0","0.75298343","false","0","AHSA1","32366","0.08043247"
"350","3.04217356","1.16E-6","0.32871234","0.8","6","5","false","5","TRMT112","109.83333333","6","0",,,"0","0.70826092","false","0","TRMT112","140","0.35544768"
"1619","2.42822384","0.00912097","0.41182365","0.24104157","92","4","false","4","XRCC6","61.70652174","92","0",,,"0","0.79596802","false","0","XRCC6","281550","0.09109884"
"1620","2.73317113","0.03384383","0.36587537","0.02816901","72","5","false","17","MRPS5","12.80555556","72","0",,,"0","0.75240412","false","0","MRPS5","1339228","0.03421683"
"120","3.24817518","3.91E-6","0.30786517","0.66666667","3","6","false","7","TJP3","47.33333333","3","0",,,"0","0.67883212","false","0","TJP3","188","0.39444444"
"1054","3.09489051","1.426E-4","0.32311321","0.45454545","11","5","false","7","FCGR2B","26.36363636","11","0",,,"0","0.70072993","false","0","FCGR2B","3046","0.17399157"
"1621","2.65369019","0.0027071","0.37683374","0.08418367","49","5","false","5","EIF2S2","31.0","49","0",,,"0","0.76375854","false","0","EIF2S2","75378","0.06589046"
"1055","2.92862936","0.00113637","0.34145666","0.29239766","19","5","false","7","EPCAM","30.52631579","19","0",,,"0","0.72448152","false","0","EPCAM","24962","0.1128655"
"1056","2.99432279","1.8004E-4","0.33396533","0.28571429","7","5","false","7","ENTPD1","40.85714286","7","0",,,"0","0.71509674","false","0","ENTPD1","6642","0.19228165"
"1622","2.41524736","0.01028433","0.41403627","0.19347826","161","5","false","5","DHX9","51.70807453","161","0",,,"0","0.79782181","false","0","DHX9","358850","0.08002423"
"239","2.99594485","2.119E-5","0.33378452","0.42857143","8","5","false","5","LSM2","128.25","8","0",,,"0","0.71486502","false","0","LSM2","2874","0.33021907"
"1623","3.09326845","0.00146582","0.32328264","0.08965517","30","5","false","1","GNPAT","14.73333333","30","0",,,"0","0.70096165","false","0","GNPAT","34498","0.08148148"
"712","3.08434712","1.04E-5","0.32421772","0.4","6","5","false","4","MMS19","86.16666667","6","0",,,"0","0.70223613","false","0","MMS19","838","0.28104575"
"1057","2.67721006","0.00403062","0.37352317","0.24216524","27","4","false","7","CD40","40.55555556","27","0",,,"0","0.76039856","false","0","CD40","104342","0.08416108"
"1624","2.82562855","0.01040584","0.35390356","0.13236715","46","5","false","1","ECHS1","19.5","46","0",,,"0","0.73919592","false","0","ECHS1","265484","0.06477822"
"188","3.50202758","0.0","0.28554887","0.0","1","6","false","6","RNF213","46.0","1","0",,,"0","0.64256749","false","0","RNF213","0","0.0"
"1625","2.90754258","0.0035016","0.34393305","0.27378436","44","5","false","1","ACSL5","26.18181818","44","0",,,"0","0.72749392","false","0","ACSL5","91354","0.08989378"
"713","3.01378751","1.3E-7","0.3318084","0.95238095","7","5","false","5","LARP1","147.85714286","7","0",,,"0","0.71231607","false","0","LARP1","12","0.39853677"
"1626","2.94079481","0.00228513","0.34004413","0.23295455","33","5","false","1","ACSL3","20.96969697","33","0",,,"0","0.7227436","false","0","ACSL3","64148","0.10491853"
"1060","2.84671533","9.6607E-4","0.35128205","0.0","7","5","false","7","TAGLN2","52.14285714","7","0",,,"0","0.73618352","false","0","TAGLN2","17020","0.15221088"
"1627","2.73560422","0.00651319","0.36554996","0.23969252","54","5","false","1","ACSL1","28.7037037","54","0",,,"0","0.75205654","false","0","ACSL1","177718","0.07336364"
"714","3.01459854","1.634E-5","0.33171913","0.38095238","7","5","false","5","HTATSF1","102.85714286","7","0",,,"0","0.71220021","false","0","HTATSF1","1496","0.2968621"
"189","3.10867802","1.812E-5","0.32168015","0.4","5","5","false","6","RANBP3","67.0","5","0",,,"0","0.69876028","false","0","RANBP3","802","0.29955157"
"1628","2.88564477","0.00793034","0.346543","0.19683258","52","6","false","1","ACAA1","21.88461538","52","0",,,"0","0.73062218","false","0","ACAA1","158390","0.07227458"
"1061","3.36009732","1.89E-6","0.29761043","0.0","2","6","false","7","SLC9A3R2","36.5","2","0",,,"0","0.66284324","false","0","SLC9A3R2","130","0.5546875"
"1629","3.1216545","4.374E-5","0.32034295","0.57142857","8","5","false","1","ABCD1","54.875","8","0",,,"0","0.6969065","false","0","ABCD1","2274","0.25523256"
"1630","4.07542579","0.0","0.24537313","0.0","1","6","false","2","ABCC6","18.0","1","0",,,"0","0.56065346","false","0","ABCC6","0","0.0"
"240","3.0648824","0.0","0.32627679","1.0","7","5","false","5","HNRNPLL","172.71428571","7","0",,,"0","0.7050168","false","0","HNRNPLL","0","0.52656794"
"1062","2.80697486","3.6692E-4","0.35625542","0.37777778","10","5","false","12","SERPINH1","66.2","10","0",,,"0","0.74186073","false","0","SERPINH1","12490","0.17467018"
"1063","3.07785888","7.3496E-4","0.32490119","0.13333333","10","5","false","7","SDCBP","18.8","10","0",,,"0","0.70316302","false","0","SDCBP","15604","0.13430657"
"1631","2.62368208","6.1577E-4","0.38114374","0.45714286","21","5","false","6","TPR","104.71428571","21","0",,,"0","0.76804542","false","0","TPR","24312","0.18623962"
"715","3.02108678","1.3216E-4","0.33100671","0.2","5","6","false","7","F13A1","48.2","5","0",,,"0","0.71127332","false","0","F13A1","3826","0.23762376"
"1632","2.66909976","3.4279E-4","0.37465816","0.53333333","16","5","false","6","NUP93","97.5","16","0",,,"0","0.76155718","false","0","NUP93","13058","0.18774085"
"716","2.69099757","9.649E-5","0.3716094","0.58666667","25","5","false","5","DDX21","127.84","25","0",,,"0","0.75842892","false","0","DDX21","7058","0.23413919"
"717","3.1459854","1.866E-5","0.31786543","0.53333333","6","5","false","4","CTDP1","84.16666667","6","0",,,"0","0.69343066","false","0","CTDP1","1078","0.30545455"
"1067","2.68207624","0.00395006","0.37284548","0.1816092","30","5","false","7","LGALS3","33.86666667","30","0",,,"0","0.75970339","false","0","LGALS3","103954","0.07396061"
"1633","2.61557178","0.01498095","0.38232558","0.08819346","38","5","false","7","TSG101","28.44736842","38","0",,,"0","0.76920403","false","0","TSG101","294558","0.05508431"
"1634","2.67721006","0.01471318","0.37352317","0.11310782","44","5","false","7","TFRC","20.84090909","44","0",,,"0","0.76039856","false","0","TFRC","261316","0.05082848"
"1068","2.67477697","0.00530417","0.37386295","0.09803922","18","5","false","7","GRN","45.16666667","18","0",,,"0","0.76074615","false","0","GRN","93680","0.09737286"
"1635","3.14274128","2.971E-4","0.31819355","0.2","5","6","false","3","MRPS14","47.8","5","0",,,"0","0.6938941","false","0","MRPS14","5266","0.26779661"
"1069","2.54501217","0.00375034","0.39292543","0.26666667","75","5","false","5","FUBP1","54.73333333","75","0",,,"0","0.77928398","false","0","FUBP1","137110","0.09734282"
