module,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,NeighborhoodConnectivity,Radiality,Stress,TopologicalCoefficient
M1,3.191819071,0.001770274,0.317152565,0.333185013,14.23247232,41.0043678,0.68688299,43495.47601,0.203914893
M2,3.218215929,0.001291907,0.314046137,0.40605464,19.69879518,36.9612451,0.68311201,38994.98795,0.23509423
M3,3.17518248,0.000274605,0.31497541,0.15,5,34.3,0.689259645,4224,0.24738145
M4,2.822923743,0.002021105,0.357304419,0.39313309,27.89340102,68.44990143,0.739582322,62000.97462,0.20112626
M5,2.804901901,0.001612623,0.358994462,0.510143088,30.94945848,111.9068314,0.742156871,59011.14801,0.268593486
M6,2.828881681,0.002244477,0.356559152,0.424650029,21.56666667,78.72907867,0.738731188,57510.33333,0.236625331
M7,3.092079347,0.001880879,0.326651877,0.32996028,13.10526316,36.44919429,0.701131522,40331.17293,0.239747647
M8,3.49087591,0.000799838,0.288321175,0,4.5,28.89583333,0.644160585,11190,0.30448517
M9,4.088402273,0.000676728,0.248324288,0,2.75,11.025,0.558799678,11135.5,0.258333333
M10,3.764530953,0.0006626,0.26877291,0,2.666666667,17.58333333,0.605067003,11912.66667,0.194444443
M11,3.424979727,0.000517307,0.293717802,0.236111112,5.166666667,19.625,0.653574325,8014.333333,0.277744712
M12,3.182819681,0.000724169,0.316070788,0.604855488,9.708333333,40.97299828,0.688168617,14650.66667,0.31127574
M13,3.659772915,0.00062945,0.273591435,0,4,16.16666667,0.62003244,8048,0.275867135
M14,3.571314707,0.001254971,0.283501912,0.123150588,4.931034483,38.44714742,0.632669327,22924.24138,0.31348784
M15,4.14138956,0.0010867,0.244910007,0,2,7.916666667,0.551230067,22998,0.083333333
M16,4.107596652,0.001004373,0.246314238,0,2.5,12.5,0.556057623,34096,0.198275862
M17,3.375092751,0.001019046,0.298527689,0.465965005,5.361702128,64.39430109,0.660701035,37577.65957,0.458128979
M18,3.979453903,0.000975047,0.254309217,0,3,8.5,0.574363727,12112.66667,0.222222223
M19,3.536293593,0.000728718,0.286730383,0.008928573,3.75,19.4375,0.637672345,11293,0.223887953
M20,3.804034873,0.000947895,0.265907709,0.05116959,4,20.13157895,0.599423591,12718.75,0.22266604
M21,3.402811567,0.00013613,0.293887833,0.466666667,4,28.44444445,0.656741207,2058,0.33304322
M22,3.885442008,0.000931998,0.26145855,0,2.75,25.10714286,0.587794,14552,0.163311688
M23,3.841849145,0.00081198,0.264768675,0.166666665,2.5,13.375,0.59402155,12832,0.16791045
