"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","module","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","NumChildren","NumDescendents","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"17191","2.09090909","0.0","0.47826087","1.0","2","3","false",,"","14.5","2","0","2","2","0","0.63636364","false","0","M23","0","0.80555556"
"17202","1.90909091","0.0","0.52380952","1.0","3","3","false",,"","15.0","3","0","4","4","0","0.6969697","false","0","M22","0","0.71428571"
"17213","1.72727273","0.00170068","0.57894737","0.86666667","6","2","false",,"","13.5","6","0","3","3","0","0.75757576","false","0","M21","6","0.61363636"
"17224","1.86363636","0.00386518","0.53658537","0.6","5","3","false",,"","10.8","5","0","8","8","0","0.71212121","false","0","M20","10","0.54"
"17235","1.77272727","0.004329","0.56410256","0.6","5","2","false",,"","11.4","5","0","4","4","0","0.74242424","false","0","M19","10","0.51818182"
"17246","1.81818182","0.00681818","0.55","0.6","5","3","false",,"","9.8","5","0","3","3","0","0.72727273","false","0","M18","12","0.46666667"
"17257","1.72727273","0.00382395","0.57894737","0.86666667","6","2","false",,"","12.66666667","6","0","47","47","0","0.75757576","false","0","M17","10","0.57575758"
"17268","1.95454545","0.0","0.51162791","1.0","2","3","false",,"","15.5","2","0","6","6","0","0.68181818","false","0","M16","0","0.73809524"
"17279","2.04545455","0.0","0.48888889","1.0","2","3","false",,"","14.0","2","0","3","3","0","0.65151515","false","0","M15","0","0.73684211"
"17290","1.63636364","0.03360991","0.61111111","0.41666667","9","3","false",,"","8.55555556","9","0","58","58","0","0.78787879","false","0","M14","56","0.40740741"
"17301","1.95454545","0.0021645","0.51162791","0.66666667","4","3","false",,"","9.25","4","0","2","2","0","0.68181818","false","0","M13","4","0.48684211"
"17312","1.72727273","0.00468975","0.57894737","0.8","6","2","false",,"","12.16666667","6","0","24","24","0","0.75757576","false","0","M12","8","0.5530303"
"17323","1.72727273","0.00755171","0.57894737","0.6","6","2","false",,"","10.5","6","0","6","6","0","0.75757576","false","0","M11","16","0.47727273"
"17334","2.27272727","0.0","0.44","0.0","1","3","false",,"","15.0","1","0","3","3","0","0.57575758","false","0","M10","0","0.0"
"17345","1.86363636","8.658E-4","0.53658537","0.83333333","4","3","false",,"","12.75","4","0","4","4","0","0.71212121","false","0","M9","2","0.60714286"
"17356","1.63636364","0.03547207","0.61111111","0.42857143","8","2","false",,"","9.125","8","0","4","4","0","0.78787879","false","0","M8","48","0.41477273"
"17367","1.36363636","0.10834708","0.73333333","0.41758242","14","2","false",,"","8.28571429","14","0","133","133","0","0.87878788","false","0","M7","150","0.37662338"
"17378","1.63636364","0.01031059","0.61111111","0.71428571","8","2","false",,"","11.5","8","0","90","90","0","0.78787879","false","0","M6","28","0.52272727"
"17389","1.31818182","0.16944273","0.75862069","0.36190476","15","2","false",,"","7.66666667","15","0","277","277","0","0.89393939","false","0","M5","202","0.36190476"
"17400","1.27272727","0.17965196","0.78571429","0.33333333","16","2","false",,"","7.3125","16","0","197","197","0","0.90909091","false","0","M4","198","0.33238636"
"17411","1.90909091","0.0","0.52380952","1.0","4","3","false",,"","11.75","4","0","2","2","0","0.6969697","false","0","M3","0","0.5875"
"17422","1.45454545","0.07299526","0.6875","0.46969697","12","2","false",,"","8.66666667","12","0","83","83","0","0.84848485","false","0","M2","96","0.39393939"
"17433","1.31818182","0.16388545","0.75862069","0.36190476","15","2","false",,"","7.6","15","0","271","271","0","0.89393939","false","0","M1","182","0.34545455"
