Module,Proportion,TFCs_mean,NeighborhoodConnectivity,TopologicalCoefficient,MEAN_Score,,,,,,
22,4,4,11,2,5.25,,,Module,Targets_Count,Targets_Proportion,Avg.TFC
9,3,3,3,15,6,,,1,35,0.129151292,24.91763072
2,1,7,16,11,8.75,,,2,7,0.084337349,31.00857224
23,23,5,5,3,9,,,3,0,0,15.44901381
19,9,13,8,10,10,,,4,32,0.162436548,26.62021091
15,19,20,1,1,10.25,,,5,14,0.050541516,29.28836125
1,2,14,19,7,10.5,,,6,5,0.055555556,31.12209313
18,21,11,2,8,10.5,,,7,29,0.218045113,24.88550958
21,7,2,12,22,10.75,,,8,1,0.25,23.32685088
16,20,18,4,5,11.75,,,9,0,0,38.87871776
7,5,15,15,13,12,,,10,0,0,1.627723416
4,10,12,21,6,12.25,,,11,0,0,5.144858999
10,16,23,7,4,12.5,,,12,3,0.125,18.03399076
6,11,6,22,12,12.75,,,13,0,0,10.52352084
20,22,10,10,9,12.75,,,14,2,0.034482759,30.3947019
8,8,16,13,19,14,,,15,0,0,12.9014825
17,14,1,20,23,14.5,,,16,0,0,16.36146855
14,13,8,17,21,14.75,,,17,0,0,80.89389724
5,12,9,23,16,15,,,18,0,0,27.888305
12,6,17,18,20,15.25,,,19,0,0,25.53421141
3,15,19,14,14,15.5,,,20,0,0,27.95797455
13,18,21,6,17,15.5,,,21,0,0,59.220145
11,17,22,9,18,16.5,,,22,2,0.5,34.2331564
,,,,,,,,23,0,0,33.31089
