DrugID,label,module
C1HI6G,D,2
CQ65MR,D,2
CWP8Y3,D,2
CTEJ21,D,2
C63PKA,D,2
CS87DF,D,2
CA9YT2,D,2
CO9ZJ3,D,2
D0AZ0Y,D,2
CQN29P,D,2
C2FA5U,D,2
COXF43,D,2
D09ROW,D,2
CTP09O,D,2
C8C7VA,D,2
C3VZL4,D,2
CCS6Y4,D,2
CB51ZL,D,2
CH7PD1,D,2
C29SZY,D,2
CZAL20,D,2
CP69ML,D,2
CJ89UZ,D,2
C07ILY,D,2
CA3C5R,D,2
CZ3NR9,D,2
C3EB6I,D,2
C2LHG1,D,2
CWG01C,D,2
CU71AI,D,2
CGA8B3,D,2
C6V5HA,D,2
CYI67B,D,2
CV6OX1,D,2
CUZ29G,D,2
C45KEY,D,2
CN7U0O,D,2
COFC46,D,2
C4FEY6,D,2
CILW38,D,2
CAV13Q,D,2
CHF7A6,D,2
C1HI5E,D,2
CGV8F5,D,2
CF3B5T,D,2
D00KHM,D,2
C3G4VJ,D,2
C1A7DH,D,2
CES25H,D,2
C6SJN8,D,2
C67TRY,D,2
CY0R2X,D,2
C03EIS,D,2
CA67IC,D,2
C60XJR,D,2
C17AZU,D,2
CNZK34,D,2
C2Y9UG,D,2
D07FJM,D,2
CL46DK,D,2
CQ89FS,D,2
CTK3S2,D,2
CGH64E,D,2
C83GSZ,D,2
CRZ64O,D,2
CVZ7D2,D,2
C3ESV6,D,2
CWPD26,D,2
CIN06P,D,2
CS5W8O,D,2
CU92DC,D,2
CFV41G,D,2
CLGO78,D,2
CG8F0J,D,2
C21NDB,D,2
CLU37N,D,2
C7ZYM4,D,2
C7X2EU,D,2
CF5R6I,D,2
CEZ7B1,D,2
C7JUC3,D,2
C8E4UR,D,2
C85MYW,D,2
CE6X4R,D,2
C8Y9BO,D,2
CCT4I2,D,2
C9LCD8,D,2
CABJ72,D,2
C9EU5R,D,2
C0K1HQ,D,2
CGR27B,D,2
C0RN6B,D,2
CP4KL5,D,2
CC86LX,D,2
D0RQ8R,D,2
CXJ53K,D,2
CMN38P,D,2
CEWB26,D,2
CW6VU5,D,2
C0LFI4,D,2
CV3KI2,D,2
C6V0FS,D,2
C7GI8W,D,2
CKIH98,D,2
CZF08H,D,2
CJD3V9,D,2
CU06ZF,D,2
C1W8HN,D,2
CENR59,D,2
C7CTS4,D,2
CLUO39,D,2
C95EPO,D,2
CI7L1R,D,2
CNGX73,D,2
CJBS21,D,2
CGPY31,D,2
C0I9VF,D,2
CAX5B2,D,2
CC25LY,D,2
CQL7T6,D,2
CVB45K,D,2
CYI6B8,D,2
C86ZPR,D,2
CM5TK4,D,2
C8WFN9,D,2
D0PI0R,D,2
CM7LR3,D,2
CI98LN,D,2
C7U6EW,D,2
C4VNX9,D,2
CD1XY5,D,2
CPN3Q9,D,2
C59IQV,D,2
C5A9HZ,D,2
CV09UY,D,2
C1YC6F,D,2
CDZ2I7,D,2
CE6H1V,D,2
CVSF12,D,2
CLV1B0,D,2
C3DZM7,D,2
CTO51S,D,2
C9HD1W,D,2
CQ2S9Y,D,2
CV85QH,D,2
CM9NO6,D,2
CD1L5S,D,2
CKY89F,D,2
C2YC8B,D,2
CQ3VK5,D,2
CV1JC6,D,2
CQHL97,D,2
CYAB26,D,2
CR1U3B,D,2
C0H8GR,D,2
CEP90Y,D,2
D0U2BH,D,2
CGF1W0,D,2
C2VI8L,D,2
C8XON9,D,2
C5JR1D,D,2
CXBM90,D,2
C18FYB,D,2
C12MUH,D,2
C39PWZ,D,2
C53RYT,D,2
CUJ25K,D,2
D0I2MK,D,2
CD69RC,D,2
D0L5WM,D,2
CBLS21,D,2
C4LPZ3,D,2
CH1O8Z,D,2
C8VZ9T,D,2
DB00198,D,2
D04XVN,D,2
C69ELZ,D,2
C3J8PO,D,2
CZRB08,D,2
CA3BV4,D,2
CW9L4T,D,2
CAN63R,D,2
CU8K9D,D,2
C3HNZ7,D,2
CKP7B4,D,2
CSJ8V5,D,2
CS8DP3,D,2
CO9T8S,D,2
C6MXE3,D,2
CG2X0M,D,2
C1C5GT,D,2
C1EY6B,D,2
CO2FG6,D,2
C9T4KE,D,2
CNFV23,D,2
CMH16X,D,2
C65JUT,D,2
C42ZKN,D,2
CF1UM5,D,2
CD91KE,D,2
C4HKT8,D,2
C2XS5J,D,2
CX6CM0,D,2
CX20AZ,D,2
C2EG4I,D,2
CKP10W,D,2
CB0OL9,D,2
CA7P8Q,D,2
CUVL53,D,2
C2UP8W,D,2
C20UMW,D,2
CWG2H3,D,2
CIOL78,D,2
CM2J5L,D,2
CBO6C2,D,2
C0H9TR,D,2
DB00843,D,2
CNS83Y,D,2
CS0LP4,D,2
C5KT0L,D,2
C9U4OG,D,2
D0D1AL,D,2
CG8S9M,D,2
C4DBF9,D,2
CP3B8R,D,2
C7OUA3,D,2
CD9G4Z,D,2
C78KSM,D,2
CN6ST7,D,2
C60EAN,D,2
C2XDR1,D,2
C2Q7FJ,D,2
CD7LT0,D,2
CW09JH,D,2
CW8ZJ6,D,2
CP7BF4,D,2
C9J3AP,D,2
CO2I3Z,D,2
CWR2L5,D,2
DB00396,D,2
C6I0LU,D,2
CXWG13,D,2
D09GOS,D,2
CIAU38,D,2
C18XJI,D,2
C72BJM,D,2
CP69AF,D,2
C02QZX,D,2
C5GUV9,D,2
CFJ6N3,D,2
CJ26ZI,D,2
C2YA4G,D,2
CAD8W3,D,2
C4JOA0,D,2
C2I3DM,D,2
CGJ4H9,D,2
CTL32M,D,2
CHR5V9,D,2
C6XEW4,D,2
C9IH7R,D,2
C53FHD,D,2
C5C0KF,D,2
CS7YZ0,D,2
C3Y7FU,D,2
CTV5K3,D,2
CG0O8U,D,2
CI4AK1,D,2
C7ZS6E,D,2
C28CPM,D,2
CPOI59,D,2
CQT4J5,D,2
C32EZP,D,2
CL5WY4,D,2
C7LTU2,D,2
C9AOQ4,D,2
CGQ31C,D,2
CUY09I,D,2
C1PR7Z,D,2
C05TOB,D,2
C07OTB,D,2
CVT62Z,D,2
C6UD7F,D,2
D02VJY,D,2
C9YB2Z,D,2
C75IUG,D,2
C21ZWF,D,2
C1XP3Q,D,2
CGD47O,D,2
CNK8Z0,D,2
CFN89Y,D,2
CJ7VI3,D,2
CNW68B,D,2
CQ3G2Y,D,2
C86WSC,D,2
CFP62O,D,2
C9T7BZ,D,2
CIJU21,D,2
CWID72,D,2
CWV3J6,D,2
CB1UT8,D,2
C42SMF,D,2
CE1U9A,D,2
CM0W7X,D,2
CIL20J,D,2
C0H9DF,D,2
CHP8I7,D,2
C98LPJ,D,2
COB86G,D,2
CL8KX3,D,2
C60ZQJ,D,2
CGJ2E3,D,2
CV03YM,D,2
CMQ29K,D,2
C39SHG,D,2
CY35VS,D,2
C4R8EB,D,2
CU2OD6,D,2
C03SJY,D,2
C58OBH,D,2
CPNW78,D,2
CN0LZ6,D,2
CCE46L,D,2
CO06GR,D,2
C43WPR,D,2
C9BM1L,D,2
CI29NG,D,2
CP3U4C,D,2
CCS6U1,D,2
C6MRA2,D,2
CP8H2D,D,2
D0H4YH,D,2
C41JTR,D,2
