GeneName,DrugID,label,module
ABCB1,C1HI6G,D,2
ABCB1,CQ65MR,D,2
ABCB1,CWP8Y3,D,2
ABCB1,CTEJ21,D,2
ABCB1,C63PKA,D,2
ABCB1,CS87DF,D,2
ABCB1,CA9YT2,D,2
ABCB1,CO9ZJ3,D,2
ABCB1,D0AZ0Y,D,2
ABCB1,CQN29P,D,2
ABCB1,C2FA5U,D,2
ABCB1,COXF43,D,2
ABCB1,D09ROW,D,2
ABCB1,CTP09O,D,2
ABCB1,C8C7VA,D,2
ABCB1,C3VZL4,D,2
ABCB1,CCS6Y4,D,2
ABCB1,CB51ZL,D,2
ABCB1,CH7PD1,D,2
ABCB1,C29SZY,D,2
ABCB1,CZAL20,D,2
ABCB1,CP69ML,D,2
ABCB1,CJ89UZ,D,2
ABCB1,C07ILY,D,2
ABCB1,CA3C5R,D,2
ABCB1,CZ3NR9,D,2
ABCB1,C3EB6I,D,2
ABCB1,C2LHG1,D,2
ABCB1,CWG01C,D,2
ABCB1,CU71AI,D,2
ABCB1,CGA8B3,D,2
ABCB1,C6V5HA,D,2
ABCB1,CYI67B,D,2
ABCB1,CV6OX1,D,2
ABCB1,CUZ29G,D,2
ABCB1,C45KEY,D,2
ABCB1,CN7U0O,D,2
ABCB1,COFC46,D,2
ABCB1,C4FEY6,D,2
ABCB1,CILW38,D,2
ABCB1,CAV13Q,D,2
ABCB1,CHF7A6,D,2
ABCB1,C1HI5E,D,2
ABCB1,CGV8F5,D,2
ABCB1,CF3B5T,D,2
ABCB1,D00KHM,D,2
ABCB1,C3G4VJ,D,2
ABCB1,C1A7DH,D,2
ABCB1,CES25H,D,2
ABCB1,C6SJN8,D,2
ABCB1,C67TRY,D,2
ABCB1,CY0R2X,D,2
ABCB1,C03EIS,D,2
ABCB1,CA67IC,D,2
ABCB1,C60XJR,D,2
ABCB1,C17AZU,D,2
ABCB1,CNZK34,D,2
ABCB1,C2Y9UG,D,2
ABCB1,D07FJM,D,2
ABCB1,CL46DK,D,2
ABCB1,CQ89FS,D,2
ABCB1,CTK3S2,D,2
ABCB1,CGH64E,D,2
ABCB1,C83GSZ,D,2
ABCB1,CRZ64O,D,2
ABCB1,CVZ7D2,D,2
ABCB1,C3ESV6,D,2
ABCB1,CWPD26,D,2
ABCB1,CIN06P,D,2
ABCB1,CS5W8O,D,2
ABCB1,CU92DC,D,2
ABCB1,CFV41G,D,2
ABCB1,CLGO78,D,2
ABCB1,CG8F0J,D,2
ABCB1,C21NDB,D,2
ABCB1,CLU37N,D,2
ABCB1,C7ZYM4,D,2
ABCB1,C7X2EU,D,2
ABCB1,CF5R6I,D,2
ABCB1,CEZ7B1,D,2
ABCB1,C7JUC3,D,2
ABCB1,C8E4UR,D,2
ABCB1,C85MYW,D,2
ABCB1,CE6X4R,D,2
ABCB1,C8Y9BO,D,2
ABCB1,CCT4I2,D,2
ABCB1,C9LCD8,D,2
ABCB1,CABJ72,D,2
ABCB1,C9EU5R,D,2
ABCB1,C0K1HQ,D,2
ABCB1,CGR27B,D,2
ABCB1,C0RN6B,D,2
ABCB1,CP4KL5,D,2
ABCB1,CC86LX,D,2
ABCB1,D0RQ8R,D,2
ABCB1,CXJ53K,D,2
ABCB1,CMN38P,D,2
ABCB1,CEWB26,D,2
ABCB1,CW6VU5,D,2
ABCB1,C0LFI4,D,2
ABCB1,CV3KI2,D,2
ABCB1,C6V0FS,D,2
ABCB1,C7GI8W,D,2
ABCB1,CKIH98,D,2
ABCB1,CZF08H,D,2
ABCB1,CJD3V9,D,2
ABCB1,CU06ZF,D,2
ABCB1,C1W8HN,D,2
ABCB1,CENR59,D,2
ABCB1,C7CTS4,D,2
ABCB1,CLUO39,D,2
ABCB1,C95EPO,D,2
ABCB1,CI7L1R,D,2
ABCB1,CNGX73,D,2
ABCB1,CJBS21,D,2
ABCB1,CGPY31,D,2
ABCB1,C0I9VF,D,2
ABCB1,CAX5B2,D,2
ABCB1,CC25LY,D,2
ABCB1,CQL7T6,D,2
ABCB1,CVB45K,D,2
ABCB1,CYI6B8,D,2
ABCB1,C86ZPR,D,2
ABCB1,CM5TK4,D,2
ABCB1,C8WFN9,D,2
ABCB1,D0PI0R,D,2
ABCB1,CM7LR3,D,2
ABCB1,CI98LN,D,2
ABCB1,C7U6EW,D,2
ABCB1,C4VNX9,D,2
ABCB1,CD1XY5,D,2
ABCB1,CPN3Q9,D,2
ABCB1,C59IQV,D,2
ABCB1,C5A9HZ,D,2
ABCB1,CV09UY,D,2
ABCB1,C1YC6F,D,2
ABCB1,CDZ2I7,D,2
ABCB1,CE6H1V,D,2
ABCB1,CVSF12,D,2
ABCB1,CLV1B0,D,2
ABCB1,C3DZM7,D,2
ABCB1,CTO51S,D,2
ABCB1,C9HD1W,D,2
ABCB1,CQ2S9Y,D,2
ABCB1,CV85QH,D,2
ABCB1,CM9NO6,D,2
ABCB1,CD1L5S,D,2
ABCB1,CKY89F,D,2
ABCB1,C2YC8B,D,2
ABCB1,CQ3VK5,D,2
ABCB1,CV1JC6,D,2
ABCB1,CQHL97,D,2
ABCB1,CYAB26,D,2
ABCB1,CR1U3B,D,2
ABCB1,C0H8GR,D,2
ABCB1,CEP90Y,D,2
ABCB1,D0U2BH,D,2
ABCB1,CGF1W0,D,2
ABCB1,C2VI8L,D,2
ABCB1,C8XON9,D,2
ABCB1,C5JR1D,D,2
ABCB1,CXBM90,D,2
ABCB1,C18FYB,D,2
ABCB1,C12MUH,D,2
ABCB1,C39PWZ,D,2
ABCB1,C53RYT,D,2
ABCB1,CUJ25K,D,2
ABCB1,D0I2MK,D,2
ABCB1,CD69RC,D,2
ABCB1,D0L5WM,D,2
ABCB1,CBLS21,D,2
ABCB1,C4LPZ3,D,2
ABCB1,CH1O8Z,D,2
ABCB1,C8VZ9T,D,2
ABCB1,DB00198,D,2
ABCB1,D04XVN,D,2
ABCB1,C69ELZ,D,2
ABCB1,C3J8PO,D,2
ABCB1,CZRB08,D,2
ABCB1,CA3BV4,D,2
ABCB1,CW9L4T,D,2
ABCB1,CAN63R,D,2
ABCB1,CU8K9D,D,2
ABCB1,C3HNZ7,D,2
ABCB1,CKP7B4,D,2
ABCB1,CSJ8V5,D,2
ABCB1,CS8DP3,D,2
ABCB1,CO9T8S,D,2
ABCB1,C6MXE3,D,2
ABCB1,CG2X0M,D,2
ABCB1,C1C5GT,D,2
ABCB1,C1EY6B,D,2
ABCB1,CO2FG6,D,2
ABCB1,C9T4KE,D,2
ABCB1,CNFV23,D,2
ABCB1,CMH16X,D,2
ABCB1,C65JUT,D,2
ABCB1,C42ZKN,D,2
ABCB1,CF1UM5,D,2
ABCB1,CD91KE,D,2
ABCB1,C4HKT8,D,2
ABCB1,C2XS5J,D,2
ABCB1,CX6CM0,D,2
ABCB1,CX20AZ,D,2
ABCB1,C2EG4I,D,2
ABCB1,CKP10W,D,2
ABCB1,CB0OL9,D,2
ABCB1,CA7P8Q,D,2
ABCB1,CUVL53,D,2
ABCB1,C2UP8W,D,2
ABCB1,C20UMW,D,2
ABCB1,CWG2H3,D,2
ABCB1,CIOL78,D,2
ABCB1,CM2J5L,D,2
ABCB1,CBO6C2,D,2
ABCB1,C0H9TR,D,2
ABCB1,DB00843,D,2
ABCB1,CNS83Y,D,2
ABCB1,CS0LP4,D,2
ABCB1,C5KT0L,D,2
ABCB1,C9U4OG,D,2
ABCB1,D0D1AL,D,2
ABCB1,CG8S9M,D,2
ABCB1,C4DBF9,D,2
ABCB1,CP3B8R,D,2
ABCB1,C7OUA3,D,2
ABCB1,CD9G4Z,D,2
ABCB1,C78KSM,D,2
ABCB1,CN6ST7,D,2
ABCB1,C60EAN,D,2
ABCB1,C2XDR1,D,2
ABCB1,C2Q7FJ,D,2
ABCB1,CD7LT0,D,2
ABCB1,CW09JH,D,2
ABCB1,CW8ZJ6,D,2
ABCB1,CP7BF4,D,2
ABCB1,C9J3AP,D,2
ABCB1,CO2I3Z,D,2
ABCB1,CWR2L5,D,2
ABCB1,DB00396,D,2
ABCB1,C6I0LU,D,2
ABCB1,CXWG13,D,2
ABCB1,D09GOS,D,2
ABCB1,CIAU38,D,2
ABCB1,C18XJI,D,2
ABCB1,C72BJM,D,2
ABCB1,CP69AF,D,2
ABCB1,C02QZX,D,2
ABCB1,C5GUV9,D,2
ABCB1,CFJ6N3,D,2
ABCB1,CJ26ZI,D,2
ABCB1,C2YA4G,D,2
ABCB1,CAD8W3,D,2
ABCB1,C4JOA0,D,2
ABCB1,C2I3DM,D,2
ABCB1,CGJ4H9,D,2
ABCB1,CTL32M,D,2
ABCB1,CHR5V9,D,2
ABCB1,C6XEW4,D,2
ABCB1,C9IH7R,D,2
ABCB1,C53FHD,D,2
ABCB1,C5C0KF,D,2
ABCB1,CS7YZ0,D,2
ABCB1,C3Y7FU,D,2
ABCB1,CTV5K3,D,2
ABCB1,CG0O8U,D,2
ABCB1,CI4AK1,D,2
ABCB1,C7ZS6E,D,2
ABCB1,C28CPM,D,2
ABCB1,CPOI59,D,2
ABCB1,CQT4J5,D,2
ABCB1,C32EZP,D,2
ABCB1,CL5WY4,D,2
ABCB1,C7LTU2,D,2
ABCB1,C9AOQ4,D,2
ABCB1,CGQ31C,D,2
ABCB1,CUY09I,D,2
ABCB1,C1PR7Z,D,2
ABCB1,C05TOB,D,2
ABCB1,C07OTB,D,2
ABCB1,CVT62Z,D,2
ABCB1,C6UD7F,D,2
ABCB1,D02VJY,D,2
ABCB1,C9YB2Z,D,2
ABCB1,C75IUG,D,2
ABCB1,C21ZWF,D,2
ABCB1,C1XP3Q,D,2
ABCB1,CGD47O,D,2
ABCB1,CNK8Z0,D,2
ABCB1,CFN89Y,D,2
ABCB1,CJ7VI3,D,2
ABCB1,CNW68B,D,2
ABCB1,CQ3G2Y,D,2
ABCB1,C86WSC,D,2
ABCB1,CFP62O,D,2
ABCB1,C9T7BZ,D,2
ABCB1,CIJU21,D,2
ABCB1,CWID72,D,2
ABCB1,CWV3J6,D,2
ABCB1,CB1UT8,D,2
ABCB1,C42SMF,D,2
ABCB1,CE1U9A,D,2
ABCB1,CM0W7X,D,2
ABCB1,CIL20J,D,2
ABCB1,C0H9DF,D,2
ABCB1,CHP8I7,D,2
ABCB1,C98LPJ,D,2
ABCB1,COB86G,D,2
ABCB1,CL8KX3,D,2
ABCB1,C60ZQJ,D,2
ABCB1,CGJ2E3,D,2
ABCB1,CV03YM,D,2
ABCB1,CMQ29K,D,2
ABCB1,C39SHG,D,2
ABCB1,CY35VS,D,2
ABCB1,C4R8EB,D,2
ABCB1,CU2OD6,D,2
ABCB1,C03SJY,D,2
ABCB1,C58OBH,D,2
ABCB1,CPNW78,D,2
ABCB1,CN0LZ6,D,2
ABCB1,CCE46L,D,2
ABCB1,CO06GR,D,2
ABCB1,C43WPR,D,2
ABCB1,C9BM1L,D,2
ABCB1,CI29NG,D,2
ABCB1,CP3U4C,D,2
ABCB1,CCS6U1,D,2
ABCB1,C6MRA2,D,2
ABCB1,CP8H2D,D,2
ABCB1,D0H4YH,D,2
ABCB1,C41JTR,D,2
ABCB1,CM74YN,D,2
ABCB1,CR67GJ,D,2
ABCB1,C6ZSA3,D,2
ABCB1,CF8U7D,D,2
ABCB1,C1C9DI,D,2
ABCB1,CT13WQ,D,2
ABCB1,C8V3OE,D,2
ABCB1,C0U6AP,D,2
ABCB1,CJT0W3,D,2
ABCB1,C7ZJB1,D,2
ABCB1,C28VFY,D,2
ABCB1,CKM79V,D,2
ABCB1,C6ZM8J,D,2
ABCB1,C42KCL,D,2
ABCB1,C4CVI9,D,2
ABCB1,CKW04J,D,2
ABCB1,CXHQ89,D,2
ABCB1,CUF6W9,D,2
ABCB1,CDY82R,D,2
ABCB1,CB4A2S,D,2
ABCB1,CHB5K6,D,2
ABCB1,C1EFK9,D,2
ABCB1,CL8K6E,D,2
ABCB1,C7G3ZV,D,2
ABCB1,CA7QF6,D,2
ABCB1,CI36SB,D,2
ABCB1,C9B0UR,D,2
ABCB1,CZES13,D,2
ABCB1,C1EB8Q,D,2
ABCB1,CX20OQ,D,2
ABCB1,CYL0N2,D,2
ABCB1,CK1ZU5,D,2
ABCB1,C7JI4C,D,2
ABCB1,D0CE0O,D,2
ABCB1,C6CS7Z,D,2
ABCB1,C2IAL8,D,2
ABCB1,C80DPH,D,2
ABCB1,C93SXK,D,2
ABCB1,CQZC26,D,2
ABCB1,CGC19X,D,2
ABCB1,CQI4S2,D,2
ABCB1,CEMK45,D,2
ABCB1,C1NXL6,D,2
ABCB1,CJ3QB0,D,2
ABCB1,C19LEV,D,2
ABCB1,C39NTQ,D,2
ABCB1,C8Z2XI,D,2
ABCB1,D0I7GE,D,2
ABCB1,CVB23M,D,2
ABCB1,CD9KH7,D,2
ABCB1,CL93MJ,D,2
ABCB1,CV29FO,D,2
ABCB1,CN8S1A,D,2
ABCB1,CJ2S4R,D,2
ABCB1,CKIS09,D,2
ABCB1,C5YG7N,D,2
ABCB1,C1PBZ6,D,2
ABCB1,C18UVB,D,2
ABCB1,C9IJX6,D,2
ABCB1,C0RGU4,D,2
ABCB1,C8UFO5,D,2
ABCB1,CU1TG6,D,2
ABCB1,COR49E,D,2
ABCB1,CUBS96,D,2
ABCB1,CYD8I0,D,2
ABCB1,CQ5G2S,D,2
ABCB1,CJUW92,D,2
ABCB1,C3FG1L,D,2
ABCB1,CA8ZR6,D,2
ABCB1,C6HBT0,D,2
ABCB1,C67IUV,D,2
ABCB1,C59RDY,D,2
ABCB1,CM47KI,D,2
ABCB1,CEG64W,D,2
ABCB1,CX95WT,D,2
ABCB1,CKG0Q7,D,2
ABCB1,CYO2B3,D,2
ABCB1,C3G5UK,D,2
ABCB1,C2YB6Q,D,2
ABCB1,CIM20J,D,2
ABCB1,C6SR9V,D,2
ABCB1,CQ78HT,D,2
ABCB1,D0R4OM,D,2
ABCB1,CCBA65,D,2
ABCB1,C27RQI,D,2
ABCB1,C9BNA1,D,2
ABCB1,D0A4TF,D,2
ABCB1,C0EM7K,D,2
ABCB1,CP61TJ,D,2
ABCB1,C34YIQ,D,2
ABCB1,CJQ70A,D,2
ABCB1,D0AZ3C,D,2
ABCB1,CCZ9B3,D,2
ABCB1,CN8ZL4,D,2
ABCB1,C1R2QU,D,2
ABCB1,C72VLI,D,2
ABCB1,CS7U5H,D,2
ABCB1,CX2EU1,D,2
ABCB1,C2MOH0,D,2
ABCB1,C2U1TW,D,2
ABCB1,C6Q4JE,D,2
ABCB1,C6O2ZR,D,2
ABCB1,CLR1W2,D,2
ABCB1,C8DUF3,D,2
ABCB1,C7TP5G,D,2
ABCB1,CZ4I8A,D,2
ABCB1,CXYD91,D,2
ABCB1,CP3J1F,D,2
ABCB1,CNW16J,D,2
ABCB1,C43AXK,D,2
ABCB1,CA1Y0F,D,2
ABCB1,C3FL9M,D,2
ABCB1,C5RUT2,D,2
ABCB1,C5A1NO,D,2
ABCB1,CQO05X,D,2
ABCB1,CSP8M7,D,2
ABCB1,CMHP85,D,2
ABCB1,CI2Y1X,D,2
ABCB1,CSB8I1,D,2
ABCB1,CL52JE,D,2
ABCB1,C5T0NL,D,2
ABCB1,C76TYD,D,2
ABCB1,C8NOK5,D,2
ABCB1,CO3JL0,D,2
ABCB1,C52MFS,D,2
ABCB1,CW7B0M,D,2
ABCB1,CV68RO,D,2
ABCB1,CG0H8N,D,2
ABCB1,D08SOF,D,2
ABCB1,CEQ4D2,D,2
ABCB1,C64JUK,D,2
ABCB1,C6I9HU,D,2
ABCB1,D0J2KV,D,2
ABCB1,C19FNV,D,2
ABCB1,C73GCK,D,2
ABCB1,DB02709,D,2
ABCB1,C45VCM,D,2
ABCB1,CQ9LK5,D,2
ABCB1,C35NHX,D,2
ABCB1,C3WMA5,D,2
ABCB1,C3PC9Q,D,2
ABCB1,C6Q1ZO,D,2
ABCB1,D07KSG,D,2
ABCB1,CBWT20,D,2
ABCB1,CWT89R,D,2
ABCB1,CI5AT7,D,2
ABCB1,CG4F9B,D,2
ABCB1,D05XGZ,D,2
ABCB1,C2G6BM,D,2
ABCB1,CP2TG5,D,2
ABCB1,C8ZE6S,D,2
ABCB1,CM3IC5,D,2
ABCB1,C8IM4P,D,2
ABCB1,CRI72H,D,2
ABCB1,CT0WU5,D,2
ABCB1,CP6G0O,D,2
ABCB1,CIZV45,D,2
ABCB1,CD64CJ,D,2
ABCB1,CS3Q4N,D,2
ABCB1,C7JIG6,D,2
ABCB1,C4WK3R,D,2
ABCB1,CA8P0B,D,2
ABCB1,CBG3A2,D,2
ABCB1,CZS1T7,D,2
ABCB1,CI97ST,D,2
ABCB1,CO4N2W,D,2
ABCB1,D0J4JM,D,2
ABCB1,C97BIZ,D,2
ABCB1,CYG84N,D,2
ABCB1,CQRL83,D,2
ABCB1,C0HOI9,D,2
ABCB1,C9T1CV,D,2
ABCB1,CPT8R7,D,2
ABCB1,C4WN9O,D,2
ABCB1,C80EVI,D,2
ABCB1,CW6OF8,D,2
ABCB1,C0BZF7,D,2
ABCB1,D0A4IJ,D,2
ABCB1,C28QBM,D,2
ABCB1,C30TAS,D,2
ABCB1,CRQ7U8,D,2
ABCB1,CH70XJ,D,2
ABCB1,CDWP76,D,2
ABCB1,C5CGI0,D,2
ABCB1,CU8SA2,D,2
ABCB1,CO47RI,D,2
ABCB1,CURB73,D,2
ABCB1,C8Q9ST,D,2
ABCB1,CY8X3L,D,2
ABCB1,C63OKC,D,2
ABCB1,C7AB2T,D,2
ABCB1,DB04877,D,2
ABCB1,DB14069,D,2
ABCB1,CS4RX9,D,2
ABCB1,C86TMI,D,2
ABCB1,CGC9R1,D,2
ABCB1,C2SNI0,D,2
ABCB1,CV15BM,D,2
ABCB1,CAP4K6,D,2
ABCB1,CTK36H,D,2
ABCB1,CHY15F,D,2
ABCB1,DB14064,D,2
ABCB1,DB14070,D,2
ABCB1,CKGZ01,D,2
ABCB1,C2F3HN,D,2
ABCB1,CT02XU,D,2
ABCB1,CG8DU1,D,2
ABCB1,CLD92G,D,2
ABCB1,C1SA2Z,D,2
ABCB1,D0E5IP,D,2
ABCB1,CVX35C,D,2
ABCB1,CD13BT,D,2
