"UniprotAC","GeneName","DrugID","DrugName","InChI","Indication","Source"
"Q8N5Z0","AADAT","DB00142","Glutamic acid","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1","Considered to be nature's ""Brain food"" by improving mental capacities; helps speed the healing of ulcers; gives a ""lift"" from fatigue; helps control alcoholism, schizophrenia and the craving for sugar.","DrugBank"
"Q8N5Z0","AADAT","DB00114","Pyridoxal phosphate","InChI=1S/C8H10NO6P/c1-5-8(11)7(3-10)6(2-9-5)4-15-16(12,13)14/h2-3,11H,4H2,1H3,(H2,12,13,14)","For nutritional supplementation and for treating dietary shortage or imbalance.","DrugBank"
"Q2M2I8","AAK1","DB12010","Fostamatinib","InChI=1S/C23H26FN6O9P/c1-23(2)21(31)30(11-38-40(32,33)34)20-14(39-23)6-7-17(28-20)27-19-13(24)10-25-22(29-19)26-12-8-15(35-3)18(37-5)16(9-12)36-4/h6-10H,11H2,1-5H3,(H2,32,33,34)(H2,25,26,27,28,29)","Fostamatinib is indicated for use in the treatment of chronic immune thrombocytopenia (ITP) in patients who have had insufficient response to previous therapy [FDA Label].","DrugBank"
"Q5JTZ9","AARS2","DB00160","Alanine","InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1","Used for protein synthesis.","DrugBank"
"Q9UDR5","AASS","DB00142","Glutamic acid","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1","Considered to be nature's ""Brain food"" by improving mental capacities; helps speed the healing of ulcers; gives a ""lift"" from fatigue; helps control alcoholism, schizophrenia and the craving for sugar.","DrugBank"
"Q9UDR5","AASS","DB00157","NADH","InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1","Some evidence suggests that NADH might be useful in treating Parkinson's disease, chronic fatigue syndrome, Alzheimer's disease and cardiovascular disease.","DrugBank"
"Q9UDR5","AASS","DB04207","L-Saccharopine","InChI=1S/C11H20N2O6/c12-7(10(16)17)3-1-2-6-13-8(11(18)19)4-5-9(14)15/h7-8,13H,1-6,12H2,(H,14,15)(H,16,17)(H,18,19)/t7-,8-/m0/s1",NA,"DrugBank"
"Q9UDR5","AASS","DB02338","NADPH","InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",NA,"DrugBank"
"P80404","ABAT","DB00114","Pyridoxal phosphate","InChI=1S/C8H10NO6P/c1-5-8(11)7(3-10)6(2-9-5)4-15-16(12,13)14/h2-3,11H,4H2,1H3,(H2,12,13,14)","For nutritional supplementation and for treating dietary shortage or imbalance.","DrugBank"
"P80404","ABAT","DB01080","Vigabatrin","InChI=1S/C6H11NO2/c1-2-5(7)3-4-6(8)9/h2,5H,1,3-4,7H2,(H,8,9)","Vigabatrin is indicated as adjunctive therapy in the treatment of refractory complex partial seizures in patients 2 years of age and older who have had inadequate responses to multiple previous treatments (i.e. not to be used for first-line therapy).[L13616] It is also indicated as monotherapy in the treatment of infantile spasms in patients between 1 month and 2 years of age for whom the potential benefits outweigh the risk of vision loss.[L13616]","DrugBank"
"P80404","ABAT","DB01699","(4e)-4-Aminohex-4-Enoic Acid","InChI=1S/C6H11NO2/c1-2-5(7)3-4-6(8)9/h2H,3-4,7H2,1H3,(H,8,9)/b5-2+",NA,"DrugBank"
"P80404","ABAT","DB00780","Phenelzine","InChI=1S/C8H12N2/c9-10-7-6-8-4-2-1-3-5-8/h1-5,10H,6-7,9H2","Phenelzine is indicated for the treatment of nonendogenous, neurotic or atypical depression for patients that do not tolerate other forms of therapy.[L1356] 
Atypical depression has a high prevalence rate, starts in early life, tends to last longer, is more likely to occur in people with bipolar disorder, has a high comorbidity with anxiety disorder and carries more risk of suicidal behavior. It is important to specify the atypical feature to predict the clinical course of depression and hence generate the best treatment and service. The featuring symptoms of the atypical feature include mood reactivity, two or more of this symptoms: 1) increased appetite, 2) increased sleep, 3) leaden paralysis and 4) interpersonal rejection sensitivity and should not have melancholic or catatonic features of depression.[A31917]
Neurotic depression is a depression of an emotionally unstable person. It is a secondary condition to major personality disorder, neuroses and drug use disorders. Likewise, a primary depression with a family history of depression spectrum disease would fit in this category.[A31922]
A nonendogenous depression is characterized by a disturbance in mood and general outlook. The physical symptoms tend to be less severe and it often occurs in response to stressful life events that keep occurring over a large period of time generating a continuous stress in the daily living.[A31924]","DrugBank"
"P80404","ABAT","DB00142","Glutamic acid","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1","Considered to be nature's ""Brain food"" by improving mental capacities; helps speed the healing of ulcers; gives a ""lift"" from fatigue; helps control alcoholism, schizophrenia and the craving for sugar.","DrugBank"
"P80404","ABAT","DB00119","Pyruvic acid","InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)","For nutritional supplementation, also for treating dietary shortage or imbalance","DrugBank"
"P80404","ABAT","DB00160","Alanine","InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1","Used for protein synthesis.","DrugBank"
"P80404","ABAT","DB04235","4-Amino Hexanoic Acid","InChI=1S/C6H13NO2/c1-2-5(7)3-4-6(8)9/h5H,2-4,7H2,1H3,(H,8,9)/t5-/m1/s1",NA,"DrugBank"
"P08183","ABCB1","DB00813","Fentanyl","InChI=1S/C22H28N2O/c1-2-22(25)24(20-11-7-4-8-12-20)21-14-17-23(18-15-21)16-13-19-9-5-3-6-10-19/h3-12,21H,2,13-18H2,1H3","Fentanyl intravenous or intramuscular injections are indicated for short term analgesia during induction, maintenance, and recovery from general or regional anesthesia.[Label] These injections are also used with a neuroleptic for premedication, induction, and as an adjunct to maintenance of anesthesia.[Label] Finally, fentanyl intravenous or intramuscular injections are used with oxygen for anesthesia in high risk patients.[Label]
Fentanyl sublingual tablets, transmucosal lozenges, buccal tablets, sublingual sprays, transdermal systems, and nasal sprays are indicated for the management of breakthrough pain in opioid tolerant cancer patients who require around the clock pain management.[L6598,L6601,L6604,L6607,L922,L6610]","DrugBank"
"P08183","ABCB1","DB14061","Hycanthone","InChI=1S/C20H24N2O2S/c1-3-22(4-2)12-11-21-16-10-9-14(13-23)20-18(16)19(24)15-7-5-6-8-17(15)25-20/h5-10,21,23H,3-4,11-13H2,1-2H3",NA,"DrugBank"
"P08183","ABCB1","DB06240","Tariquidar","InChI=1S/C38H38N4O6/c1-45-33-18-25-14-16-42(23-28(25)19-34(33)46-2)15-13-24-9-11-29(12-10-24)40-38(44)30-20-35(47-3)36(48-4)21-32(30)41-37(43)27-17-26-7-5-6-8-31(26)39-22-27/h5-12,17-22H,13-16,23H2,1-4H3,(H,40,44)(H,41,43)","Investigated for use/treatment in ovarian cancer, lung cancer, and breast cancer.","DrugBank"
"P08183","ABCB1","DB06191","Zosuquidar","InChI=1S/C32H31F2N3O2/c33-32(34)29-22-7-1-3-9-24(22)31(25-10-4-2-8-23(25)30(29)32)37-17-15-36(16-18-37)19-21(38)20-39-28-13-5-12-27-26(28)11-6-14-35-27/h1-14,21,29-31,38H,15-20H2/t21-,29-,30+,31-/m1/s1","Investigated for use/treatment in leukemia (myeloid) and myelodysplastic syndrome.","DrugBank"
"P08183","ABCB1","DB14066","Tetrandrine","InChI=1S/C38H42N2O6/c1-39-15-13-25-20-32(42-4)34-22-28(25)29(39)17-23-7-10-27(11-8-23)45-33-19-24(9-12-31(33)41-3)18-30-36-26(14-16-40(30)2)21-35(43-5)37(44-6)38(36)46-34/h7-12,19-22,29-30H,13-18H2,1-6H3/t29-,30-/m0/s1",NA,"DrugBank"
"P08183","ABCB1","DB04877","Voacamine","InChI=1S/C43H52N4O5/c1-7-24-15-23-20-43(42(49)52-6)39-27(13-14-47(21-23)40(24)43)29-19-36(50-4)30(17-34(29)45-39)31-16-28-25(8-2)22-46(3)35(37(28)41(48)51-5)18-32-26-11-9-10-12-33(26)44-38(31)32/h8-12,17,19,23-24,28,31,35,37,40,44-45H,7,13-16,18,20-22H2,1-6H3/b25-8-/t23-,24-,28-,31+,35+,37?,40-,43+/m0/s1","For the treatment of malaria. Also under investigation for the modulation of multidrug resistance in cancer cells.","DrugBank"
"P08183","ABCB1","DB14069","ONT-093","InChI=1S/C32H38N4O/c1-6-37-21-7-8-24-9-11-27(12-10-24)32-35-30(25-13-17-28(18-14-25)33-22(2)3)31(36-32)26-15-19-29(20-16-26)34-23(4)5/h7-20,22-23,33-34H,6,21H2,1-5H3,(H,35,36)/b8-7+",NA,"DrugBank"
"P08183","ABCB1","DB04905","Tesmilifene","InChI=1S/C19H25NO/c1-3-20(4-2)14-15-21-19-12-10-18(11-13-19)16-17-8-6-5-7-9-17/h5-13H,3-4,14-16H2,1-2H3","Intended for the treatment of various forms of cancer.","DrugBank"
"P08183","ABCB1","DB14063","Dexverapamil","InChI=1S/C27H38N2O4/c1-20(2)27(19-28,22-10-12-24(31-5)26(18-22)33-7)14-8-15-29(3)16-13-21-9-11-23(30-4)25(17-21)32-6/h9-12,17-18,20H,8,13-16H2,1-7H3/t27-/m1/s1",NA,"DrugBank"
"P08183","ABCB1","DB14071","Desmethylsertraline","InChI=1S/C16H15Cl2N/c17-14-7-5-10(9-15(14)18)11-6-8-16(19)13-4-2-1-3-12(11)13/h1-5,7,9,11,16H,6,8,19H2/t11-,16-/m0/s1",NA,"DrugBank"
