node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
AADAC,FABP1,9606.ENSP00000232892,9606.ENSP00000295834,0,0,0,0,0.193,0.056,0,0.329,0.444
AADAC,CES3,9606.ENSP00000232892,9606.ENSP00000304782,0.05,0,0,0,0.062,0,0,0.502,0.518
AADAC,COG1,9606.ENSP00000232892,9606.ENSP00000299886,0,0,0,0,0,0,0,0.52,0.52
AADAC,MGLL,9606.ENSP00000232892,9606.ENSP00000265052,0.111,0,0,0,0,0,0,0.484,0.522
AADAC,CES2,9606.ENSP00000232892,9606.ENSP00000317842,0.05,0,0,0,0.081,0,0,0.539,0.562
AADAC,EMC1,9606.ENSP00000232892,9606.ENSP00000420608,0,0,0,0,0,0,0,0.578,0.578
AADAC,PSAT1,9606.ENSP00000232892,9606.ENSP00000365773,0,0,0,0,0,0,0,0.59,0.59
AADAC,CES1,9606.ENSP00000232892,9606.ENSP00000353720,0.05,0,0,0,0.086,0,0,0.668,0.687
AADAT,CRYM,9606.ENSP00000423190,9606.ENSP00000219599,0.266,0,0,0,0,0,0,0.443,0.573
AADAT,GOT2,9606.ENSP00000423190,9606.ENSP00000245206,0.094,0,0,0,0.097,0,0,0.696,0.729
AADAT,RALY,9606.ENSP00000423190,9606.ENSP00000246194,0,0,0,0,0,0,0,0.564,0.564
AADAT,LPCAT2,9606.ENSP00000423190,9606.ENSP00000262134,0,0,0,0,0,0,0,0.723,0.723
AADAT,DHTKD1,9606.ENSP00000423190,9606.ENSP00000263035,0,0,0,0,0.065,0,0.9,0.302,0.929
AADAT,KYNU,9606.ENSP00000423190,9606.ENSP00000264170,0,0,0,0,0.065,0,0.9,0.827,0.982
AADAT,QDPR,9606.ENSP00000423190,9606.ENSP00000281243,0,0,0,0,0.062,0,0,0.463,0.475
AADAT,HAAO,9606.ENSP00000423190,9606.ENSP00000294973,0,0,0,0,0.082,0,0,0.808,0.817
AADAT,PHYKPL,9606.ENSP00000423190,9606.ENSP00000310978,0.166,0,0,0,0.065,0,0,0.378,0.472
AADAT,PIPOX,9606.ENSP00000423190,9606.ENSP00000317721,0.048,0,0,0,0.065,0,0,0.392,0.412
AADAT,BCAT2,9606.ENSP00000423190,9606.ENSP00000322991,0.157,0,0,0,0.088,0,0,0.438,0.53
AADAT,AFMID,9606.ENSP00000423190,9606.ENSP00000328938,0.05,0,0,0,0.063,0,0.9,0.573,0.956
AADAT,ACMSD,9606.ENSP00000423190,9606.ENSP00000348459,0,0,0,0,0.09,0,0,0.592,0.612
AADAT,KMO,9606.ENSP00000423190,9606.ENSP00000355517,0,0,0,0,0.064,0,0.9,0.898,0.989
AADAT,CTH,9606.ENSP00000423190,9606.ENSP00000359976,0.075,0,0,0,0.112,0,0,0.426,0.487
AADAT,AASS,9606.ENSP00000423190,9606.ENSP00000377040,0,0,0,0,0.167,0,0,0.618,0.668
AADAT,QPRT,9606.ENSP00000423190,9606.ENSP00000378782,0,0,0,0,0.064,0,0,0.733,0.739
AADAT,ABAT,9606.ENSP00000423190,9606.ENSP00000379845,0.166,0,0,0,0.065,0,0,0.318,0.422
AADAT,TDO2,9606.ENSP00000423190,9606.ENSP00000444788,0,0,0,0,0.076,0,0,0.695,0.706
AAK1,CAP2,9606.ENSP00000386456,9606.ENSP00000229922,0,0,0,0,0.408,0,0,0.207,0.51
AAK1,HIP1R,9606.ENSP00000386456,9606.ENSP00000253083,0,0,0,0,0.078,0.213,0,0.414,0.538
AAK1,DBN1,9606.ENSP00000386456,9606.ENSP00000292385,0,0,0,0,0.066,0.363,0,0.208,0.487
AAK1,PPIH,9606.ENSP00000386456,9606.ENSP00000306614,0,0.013,0,0,0,0.065,0,0.503,0.515
AAK1,GAK,9606.ENSP00000386456,9606.ENSP00000314499,0,0,0,0.615,0.065,0.455,0,0.776,0.625
AAK1,ARFGAP1,9606.ENSP00000386456,9606.ENSP00000314615,0,0,0,0,0.072,0,0.9,0.055,0.904
AAK1,HIP1,9606.ENSP00000386456,9606.ENSP00000336747,0,0,0,0,0.078,0.213,0,0.296,0.444
AAK1,UBQLN2,9606.ENSP00000386456,9606.ENSP00000345195,0,0,0,0,0.062,0.058,0.9,0.125,0.912
AAK1,ITSN2,9606.ENSP00000386456,9606.ENSP00000347244,0,0,0,0,0.108,0.104,0.6,0.346,0.763
AAK1,SCYL2,9606.ENSP00000386456,9606.ENSP00000354061,0,0,0,0,0.062,0,0,0.453,0.465
AAK1,ACOT7,9606.ENSP00000386456,9606.ENSP00000367086,0,0,0,0,0,0,0,0.441,0.441
AAK1,SYNJ1,9606.ENSP00000386456,9606.ENSP00000409667,0,0,0,0,0.089,0.056,0,0.443,0.479
AAK1,SYNRG,9606.ENSP00000386456,9606.ENSP00000483453,0,0,0,0,0.108,0.369,0,0.322,0.585
AAK1,EPS15L1,9606.ENSP00000386456,9606.ENSP00000393313,0,0,0,0,0.108,0.402,0,0.482,0.699
AAK1,FCHO2,9606.ENSP00000386456,9606.ENSP00000393776,0,0,0,0,0.063,0,0.6,0.457,0.778
AAR2,RPAP3,9606.ENSP00000363043,9606.ENSP00000005386,0,0,0,0,0.102,0,0,0.45,0.485
AAR2,RBM22,9606.ENSP00000363043,9606.ENSP00000199814,0,0,0,0,0.062,0.101,0,0.459,0.504
AAR2,SF3A1,9606.ENSP00000363043,9606.ENSP00000215793,0,0,0,0,0.157,0.142,0,0.39,0.521
AAR2,SNRPD3,9606.ENSP00000363043,9606.ENSP00000215829,0,0,0,0,0.079,0.243,0,0.407,0.551
AAR2,PRPF19,9606.ENSP00000363043,9606.ENSP00000227524,0,0,0,0,0.066,0.382,0,0.267,0.54
AAR2,SNRPA,9606.ENSP00000363043,9606.ENSP00000243563,0,0,0,0,0.133,0.32,0,0.186,0.479
AAR2,SNW1,9606.ENSP00000363043,9606.ENSP00000261531,0,0,0,0,0.166,0.123,0,0.36,0.491
AAR2,SNRNP40,9606.ENSP00000363043,9606.ENSP00000263694,0,0,0,0,0.107,0.743,0,0.485,0.871
AAR2,STRN,9606.ENSP00000363043,9606.ENSP00000263918,0,0,0,0,0,0,0,0.44,0.44
AAR2,PRPF6,9606.ENSP00000363043,9606.ENSP00000266079,0,0,0,0,0.068,0.426,0,0.699,0.825
